name,category,mass_Msun,radius_km,success,E_rest,E_norm_GR,E_norm_SSZ,gamma_gr_max,gamma_ssz_max,xi_mean,D_SSZ_min,r_s_km,compactness
MS-33,main_sequence,0.8990645621210325,638932.0991666117,True,8.987551787368176e+16,1.0000006699607558,1.0000025358882343,1.0000020305221131,1.0000062719576366,1.156283746611919e-06,0.9999947433348434,2.655162486502977,240637.66432920916
MS-34,main_sequence,1.0717538678731546,735356.6953338687,True,8.987551787368176e+16,1.0000006939213026,1.0000026265817685,1.0000021031420503,1.0000064962679005,1.1976370713924211e-06,0.9999945553368359,3.165157191857131,232328.64934028886
MS-35,main_sequence,2.220657515362506,1317065.1869035307,True,8.987551787368176e+16,1.0000008027634995,1.000003038562284,1.0000024330225075,1.0000075152098933,1.3854868741782767e-06,0.9999937013464765,6.558156976236912,200828.55468020015
MS-36,main_sequence,1.5930250705236992,1009717.9848428563,True,8.987551787368176e+16,1.0000007511657523,1.0000028432587849,1.000002276639308,1.00000703217023,1.296434792897649e-06,0.9999941061889267,4.704601410753721,214623.49233983035
MS-37,main_sequence,1.7128573353030598,1070037.3985915598,True,8.987551787368176e+16,1.0000007621413145,1.0000028848025757,1.000002309904197,1.0000071349195365,1.3153774187788514e-06,0.9999940200732272,5.058496055832632,211532.71383057965
MS-38,main_sequence,0.6715374968676238,505915.77033053193,True,8.987551787368176e+16,1.0000006319827277,1.0000023921368255,1.0000019154178312,1.0000059164205197,1.0907377404461016e-06,0.999995041316358,1.9832181637284811,255098.39491354916
MS-39,main_sequence,0.7497758714730669,552544.3871017623,True,8.987551787368176e+16,1.000000646066853,1.0000024454469394,1.0000019581041708,1.0000060482712236,1.1150454333765935e-06,0.9999949308100837,2.2142756494859657,249537.3090653971
MS-40,main_sequence,2.4451175377531538,1422531.1851076856,True,8.987551787368176e+16,1.0000008183729425,1.0000030976458343,1.0000024803318421,1.0000076613398763,1.4124270615925028e-06,0.9999935788729325,7.221043554443558,196998.00650451882
WD-1,white_dwarf,0.6414327128337599,8066.868330823721,True,8.987551787368176e+16,1.0000378609006597,1.0001432881237806,1.0001147601532094,1.000354383228069,6.533313059989432e-05,0.9997030971275077,1.8943112079894906,4258.47046504329
WD-2,white_dwarf,0.8056460825364287,7476.6532029342525,True,8.987551787368176e+16,1.0000513089702359,1.0001941736618558,1.0001555280043042,1.0004802304066298,8.853390134736117e-05,0.9995977177135537,2.3792743545605757,3142.4090242485313
WD-3,white_dwarf,1.002561018037835,6951.071118941025,True,8.987551787368176e+16,1.0000686799679517,1.000259895278394,1.0002081924227664,1.0006427662070736,0.00011849840788447087,0.9994616597788718,2.9608134028153805,2347.6896964636085
WD-4,white_dwarf,1.0922897845112582,6755.270011839155,True,8.987551787368176e+16,1.0000769968982917,1.0002913585639661,1.0002334089038523,1.000720576659603,0.0001328432356895055,0.9993965422024176,3.225804889231399,2094.134717939717
WD-5,white_dwarf,0.9204745935848384,7151.844580549401,True,8.987551787368176e+16,1.0000612856016367,1.0002319204170707,1.0001857740177749,1.0005735821464703,0.00010574389509748629,0.9995195674891355,2.7183916635527705,2630.9102828848368
WD-6,white_dwarf,1.0551129907142518,6833.696391143133,True,8.987551787368176e+16,1.000073522185428,1.0002782138262305,1.000222873631069,1.0006880690909288,0.00012685027049768216,0.9994237456022752,3.1160125201212265,2193.090158340337
WD-7,white_dwarf,1.2200090847283536,6510.799405353047,True,8.987551787368176e+16,1.0000892313000664,1.0003376381828608,1.000270504919682,1.0008350272670292,0.00015394287058662838,0.9993007816230913,3.602991922317006,1807.0535670715833
WD-8,white_dwarf,1.2588377818303953,6443.157491250773,True,8.987551787368176e+16,1.0000930385063054,1.0003520389928953,1.000282049256094,1.000870640461011,0.0001605083633331761,0.9992709890457574,3.7176627749884847,1733.1204795116819
WD-9,white_dwarf,0.7559380807164656,7637.066908245791,True,8.987551787368176e+16,1.0000471316140789,1.0001783677119438,1.000142864036377,1.0004411402679019,8.132737645980193e-05,0.9996304471216892,2.232474194402979,3420.898179872641
WD-10,white_dwarf,1.2880667146727591,6394.04788157293,True,8.987551787368176e+16,1.0000959304847763,1.0003629776623724,1.0002908185607924,1.0008976916711512,0.0001654954040671344,0.9992483606384629,3.803983123129525,1680.8822948490283
WD-11,white_dwarf,0.745046264047614,7674.102393555733,True,8.987551787368176e+16,1.0000462282622808,1.0001749496147339,1.0001401254937992,1.0004326868489906,7.976893243754189e-05,0.9996375253732462,2.2003079359968227,3487.7401785487245
WD-12,white_dwarf,0.9586536884110965,7055.613039416195,True,8.987551787368176e+16,1.0000646985593993,1.0002448327428897,1.0001961213926913,1.000605515435807,0.00011163099748735216,0.999492837932563,2.8311440782538564,2492.141990798233
WD-13,white_dwarf,0.8747687052227375,7274.295246949535,True,8.987551787368176e+16,1.0000572616171934,1.0002166959482188,1.000173574372548,1.0005359305551702,9.88025846139582e-05,0.9995510859208324,2.5834107452691666,2815.7718474580483
WD-14,white_dwarf,1.2708337121314708,6422.820147088395,True,8.987551787368176e+16,1.0000942227293017,1.0003565182475913,1.0002856401425637,1.0008817176206892,0.00016255049942200993,0.9992617228106098,3.753089757063029,1711.3420042782448
WD-15,white_dwarf,0.9088797116874878,7182.128983535873,True,8.987551787368176e+16,1.000060258324472,1.0002280338287861,1.0001826595638341,1.0005639702537543,0.00010397188183341568,0.9995276134295857,2.6841490777070467,2675.75636658425
WD-16,white_dwarf,0.5676773645427039,8402.105766161396,True,8.987551787368176e+16,1.0000321701733061,1.0001217536708185,1.000097509556192,1.0003011248273315,5.5514575838161656e-05,0.9997477023584794,1.6764932200361293,5011.714730334743
WD-17,white_dwarf,1.1298861187615215,6679.497305251488,True,8.987551787368176e+16,1.0000805511948283,1.0003048040046878,1.0002441856691886,1.000753827736122,0.00013897326830884362,0.9993687186186261,3.3368362662170794,2001.7455974320048
WD-18,white_dwarf,1.1600877999100865,6621.022293308164,True,8.987551787368176e+16,1.000083435208104,1.0003157135838059,1.0002529302553973,1.0007808074244562,0.0001439471314146372,0.9993461442515564,3.426029383367434,1932.5643631229982
WD-19,white_dwarf,1.2773519972443663,6411.876364211753,True,8.987551787368176e+16,1.000094867774833,1.000358958077856,1.00028759610546,1.0008877512938301,0.0001636628405462171,0.9992566756337079,3.772339883068731,1699.7080228613456
WD-20,white_dwarf,1.1186123379144695,6701.861805631531,True,8.987551787368176e+16,1.000079481182512,1.0003007563257784,1.0002409413293587,1.0007438176906087,0.00013712785750178292,0.9993770945350258,3.3035419720725856,2028.6897706424165
WD-21,white_dwarf,0.9593529221345543,7053.898438680677,True,8.987551787368176e+16,1.0000647614957856,1.0002450708484942,1.000196312204383,1.0006061042901202,0.00011173955645369117,0.9994923450534002,2.833209090300869,2489.7203890912256
WD-22,white_dwarf,1.1566250572126173,6627.623122926627,True,8.987551787368176e+16,1.0000831032587343,1.0003144579055594,1.0002519237485663,1.0007777021026372,0.0001433746472939994,0.9993487424594116,3.4158030382326174,1940.2825774040673
WD-23,white_dwarf,1.378996095324581,6250.301845411949,True,8.987551787368176e+16,1.0001050664302535,1.0003975320389267,1.0003185222196862,1.000983143629198,0.00018124893487874873,0.9991768886772053,4.072520323459266,1534.7503140519232
WD-24,white_dwarf,1.3775045955398773,6252.556879941357,True,8.987551787368176e+16,1.0001049149089316,1.0003969589678865,1.000318062738761,1.0009817264492524,0.0001809876702361164,0.9991780738962914,4.068115551606586,1536.966391594282
WD-25,white_dwarf,1.0031465190231859,6949.718491323908,True,8.987551787368176e+16,1.000068733459643,1.0002600976460023,1.0002083546031992,1.0006432666759755,0.00011859067240289801,0.9994612409137213,2.9625425336449243,2345.862856785187
NS-1,neutron_star,1.9402379988572127,14.00393474683338,True,8.987551787368176e+16,1.07684956475219,1.2238483366621238,1.2908410762427842,1.544049527646131,0.09730794308219165,0.7240597882426661,5.730008017777659,2.4439642498553957
NS-2,neutron_star,2.1183194575465487,12.601857613146503,True,8.987551787368176e+16,1.097174612827672,1.2662032337155171,1.393640392857951,1.6489429411528052,0.11445383486186536,0.6968214708919966,6.2559270992039835,2.0143869027421992
NS-3,neutron_star,1.7156981400661784,10.242029835679348,True,8.987551787368176e+16,1.0967562275132516,1.2653855032984742,1.391379038736513,1.6468948454064922,0.11412728464273257,0.6973026557234445,5.066885662715498,2.021365887737505
NS-4,neutron_star,2.1712135628825866,10.194749574201165,True,8.987551787368176e+16,1.132444812451501,1.3279017933993502,1.6109088879096776,1.8071976355537211,0.1385495860720859,0.6648584927153045,6.412136619812894,1.5899145914484036
NS-5,neutron_star,1.7624749847185832,10.149871346129318,True,8.987551787368176e+16,1.1012177544891069,1.2739947765458366,1.4158343892273206,1.6685117833824132,0.11755616231097818,0.6923182550746586,5.205029382744941,1.9500123053631349
NS-6,neutron_star,1.2749230928091726,12.489949970438698,True,8.987551787368176e+16,1.0540850438894118,1.169313930761154,1.1906396607641327,1.4114048964036623,0.07457522769938692,0.7672721797734363,3.7651667208606545,3.3172368971708384
NS-7,neutron_star,1.7147743076990958,10.583547887304551,True,8.987551787368176e+16,1.0928369823694117,1.2576190029458392,1.3705080657691084,1.6274935749115944,0.11101685375748013,0.7019559483603584,5.064157354707108,2.0898931739289655
NS-8,neutron_star,1.4409676858450533,13.943812725409181,True,8.987551787368176e+16,1.0548378647188372,1.1712510475978783,1.1937329719332166,1.4160897171117075,0.07539463486119317,0.7655537520167037,4.255537927879905,3.2766275290503506
NS-9,neutron_star,1.394532107239971,12.416281850054068,True,8.987551787368176e+16,1.0602493579322476,1.1848943064419473,1.2163896590688807,1.4491261178442163,0.08114152449484296,0.7538594555587669,4.118402051830686,3.014829949527356
NS-10,neutron_star,1.9508143203103536,12.465003843137527,True,8.987551787368176e+16,1.0889702041260367,1.2497644882157166,1.3504547117176036,1.6079606063898144,0.10785481957283853,0.7068189636479322,5.761242539914009,2.1635964389243676
Exo-1,exoplanet_host,1.4481816160488503,918415.6506099554,True,8.987551787368176e+16,1.0000007507528923,1.0000028416960618,1.0000022753880065,1.0000070283051823,1.2957222415916905e-06,0.9999941094282802,4.27684246780325,214741.51959627567
Exo-2,exoplanet_host,0.9658906208015887,677825.5966740064,True,8.987551787368176e+16,1.000000678458335,1.00000256805259,1.0000020562766863,1.0000063515090094,1.1709496548917288e-06,0.9999946766615594,2.852516549386809,237623.72099811837
Exo-3,exoplanet_host,0.8280378006485605,603892.4857821163,True,8.987551787368176e+16,1.000000652835427,1.0000024710668092,1.0000019786184506,1.0000061116362693,1.1267272676276362e-06,0.9999948777027935,2.4454026977792447,246950.11841220758
Exo-4,exoplanet_host,0.8931293735555537,639157.3434077814,True,8.987551787368176e+16,1.0000006653034523,1.000002518259783,1.000002016406699,1.0000062283575857,1.1482457414047078e-06,0.9999947798767518,2.6376343904203075,242322.1905693805
Exo-5,exoplanet_host,1.353347529188087,872929.1658369378,True,8.987551787368176e+16,1.0000007381482243,1.0000027939859097,1.0000022371856028,1.0000069103047533,1.2739679538311681e-06,0.9999942083261936,3.9967736935648026,218408.4546098868
Exo-6,exoplanet_host,1.2449722103361363,819958.2623739396,True,8.987551787368176e+16,1.0000007229048644,1.0000027362879922,1.000002190985818,1.0000067676018094,1.247659567185089e-06,0.9999943279276858,3.6767142749178903,223013.86538725565
Exo-7,exoplanet_host,1.302818317385101,848369.2044786208,True,8.987551787368176e+16,1.000000731159629,1.000002767533252,1.0000022160044717,1.0000068448799984,1.261906396409884e-06,0.999994263159664,3.8475482949623485,220496.05084604217
Exo-8,exoplanet_host,0.816553908227407,597600.0837889691,True,8.987551787368176e+16,1.0000006505600447,1.0000024624542125,1.000001971722193,1.0000060903349284,1.1228002013696783e-06,0.9999948955557979,2.4114878916125457,247813.84383786307
Exo-9,exoplanet_host,1.4914431401270318,938916.6251480907,True,8.987551787368176e+16,1.0000007562979731,1.0000028626848438,1.0000022921941154,1.0000070802162568,1.3052924478964555e-06,0.9999940659208452,4.404604567079352,213167.06434118704
Exo-10,exoplanet_host,1.389449220412303,890336.1616773393,True,8.987551787368176e+16,1.0000007430224225,1.0000028124353237,1.00000225195839,1.0000069559352673,1.2823802905179705e-06,0.9999941700825783,4.103391015920067,216975.70575728014
Exo-11,exoplanet_host,1.2876338846624789,840942.4987037022,True,8.987551787368176e+16,1.0000007290198225,1.0000027594338314,1.0000022095191166,1.000006824847886,1.2582133222425186e-06,0.9999942799488801,3.8027048678687256,221143.24616914568
Exo-12,exoplanet_host,1.1134352442960265,754085.7370226863,True,8.987551787368176e+16,1.000000703003451,1.0000026609587813,1.000002130668346,1.0000065812917853,1.2133118794057653e-06,0.9999944840769871,3.288252719949941,229327.18414482634
Exo-13,exoplanet_host,0.8867868695690345,635750.10980518,True,8.987551787368176e+16,1.0000006641191392,1.0000025137770154,1.0000020128172675,1.000006217270459,1.1462017441674632e-06,0.9999947891690528,2.6189033900394536,242754.31931668255
Exo-14,exoplanet_host,1.4592580546642637,923679.0164923623,True,8.987551787368176e+16,1.0000007521843315,1.0000028471142273,1.0000022797264323,1.0000070417058067,1.29819274992915e-06,0.9999940981970192,4.30955396098714,214332.85784424562
Exo-15,exoplanet_host,1.2906545917753727,842421.6634177549,True,8.987551787368176e+16,1.0000007294470061,1.0000027610507716,1.0000022108138302,1.0000068288470272,1.2589505946856148e-06,0.9999942765971395,3.8116257713797554,221013.73900429107
Exo-16,exoplanet_host,1.1179468400609909,756376.2225553076,True,8.987551787368176e+16,1.000000703714508,1.0000026636502166,1.000002132823427,1.0000065879484514,1.2145390870523797e-06,0.9999944784979315,3.301576590486155,229095.46449259613
Exo-17,exoplanet_host,0.9996929952962285,695539.8064726184,True,8.987551787368176e+16,1.0000006843178404,1.0000025902315177,1.0000020740357507,1.0000064063636491,1.1810625302324238e-06,0.999994630687011,2.9523434144354734,235589.05887159967
Exo-18,exoplanet_host,1.3969331128193936,893930.4117241986,True,8.987551787368176e+16,1.0000007440209318,1.0000028162147987,1.0000022549846856,1.0000069652829566,1.2841036089756842e-06,0.9999941622481409,4.125492821740832,216684.5151234531
Exo-19,exoplanet_host,1.1104173473177723,752552.2902056669,True,8.987551787368176e+16,1.0000007025266038,1.0000026591538573,1.0000021292231105,1.0000065768277078,1.2124888923095158e-06,0.9999944878184002,3.2793401154692483,229482.84219003082
Exo-20,exoplanet_host,0.8686153459738709,625954.2993876771,True,8.987551787368176e+16,1.0000006606904883,1.0000025007991595,1.0000020024256686,1.0000061851726207,1.1402842604502086e-06,0.9999948160707736,2.5652383365991787,244014.09040905157
Exo-21,exoplanet_host,1.2976287099681871,845833.4140484673,True,8.987551787368176e+16,1.0000007304304181,1.000002764773102,1.0000022137943687,1.0000068380533822,1.2606478571894894e-06,0.9999942688811541,3.832222086463417,220716.17848981408
Exo-22,exoplanet_host,1.0188590830496131,705517.1812908513,True,8.987551787368176e+16,1.000000687574455,1.0000026025581927,1.0000020839059407,1.000006436850935,1.186683096166874e-06,0.9999946051351329,3.008945664551701,234473.22083696234
Exo-23,exoplanet_host,1.344424150057183,868608.814549049,True,8.987551787368176e+16,1.0000007369284463,1.0000027893689056,1.000002233488682,1.0000068988856217,1.2718627490109211e-06,0.9999942178967386,3.9704207234673885,218769.9679822567
Exo-24,exoplanet_host,1.4605857683343646,924309.2555172015,True,8.987551787368176e+16,1.0000007523553682,1.000002847761621,1.0000022802448125,1.000007043306991,1.2984879405539829e-06,0.9999940968550433,4.313475031484403,214284.13257769975
Exo-25,exoplanet_host,0.8596409734166671,621097.5752989019,True,8.987551787368176e+16,1.0000006589773012,1.0000024943145405,1.0000019972333196,1.0000061691343594,1.1373274834154402e-06,0.999994829512702,2.5387347701616645,244648.4692291629
