ID,Name,Mass_kg,Radius_m,Velocity_m/s,Type,Mass_Msun,Schwarzschild_radius_m,R/r_s
50,Planet_50,8.834575e+26,5.053455e+07,3.910788e+04,planet,4.441717e-04,1.312139e+00,3.851310e+07
51,Planet_51,7.073339e+26,1.331585e+07,4.378044e+03,planet,3.556229e-04,1.050555e+00,1.267506e+07
52,Planet_52,4.951080e+26,1.877496e+07,4.296559e+04,planet,2.489231e-04,7.353502e-01,2.553200e+07
53,Planet_53,1.581462e+27,1.092809e+07,4.850061e+04,planet,7.951040e-04,2.348838e+00,4.652550e+06
54,Planet_54,1.660933e+27,3.849685e+07,1.392143e+04,planet,8.350593e-04,2.466871e+00,1.560554e+07
55,Planet_55,1.727962e+27,5.514870e+07,1.470065e+04,planet,8.687591e-04,2.566424e+00,2.148854e+07
56,Planet_56,3.980141e+26,9.084355e+06,4.188817e+04,planet,2.001077e-04,5.911434e-01,1.536743e+07
57,Planet_57,5.167604e+26,4.588084e+07,4.397845e+04,planet,2.598091e-04,7.675090e-01,5.977889e+07
58,Planet_58,1.495500e+27,3.969679e+07,3.202692e+04,planet,7.518852e-04,2.221164e+00,1.787206e+07
59,Planet_59,2.414520e+26,3.033136e+07,1.756569e+04,planet,1.213936e-04,3.586122e-01,8.457985e+07
60,Planet_60,1.822662e+27,5.474418e+07,1.476827e+04,planet,9.163711e-04,2.707076e+00,2.022262e+07
61,Planet_61,1.476729e+27,5.198029e+07,1.638345e+04,planet,7.424478e-04,2.193285e+00,2.369975e+07
62,Planet_62,1.028088e+27,1.538379e+07,1.005160e+04,planet,5.168869e-04,1.526949e+00,1.007485e+07
63,Planet_63,1.608496e+27,3.198478e+07,1.833737e+04,planet,8.086959e-04,2.388990e+00,1.338841e+07
64,Planet_64,1.912122e+26,6.031792e+07,1.419367e+04,planet,9.613487e-05,2.839946e-01,2.123911e+08
65,Planet_65,7.401791e+26,4.860553e+07,3.064196e+04,planet,3.721363e-04,1.099338e+00,4.421346e+07
66,Planet_66,6.136173e+26,2.226606e+07,1.619147e+04,planet,3.085054e-04,9.113641e-01,2.443158e+07
67,Planet_67,1.686225e+27,2.914811e+07,4.902550e+04,planet,8.477752e-04,2.504435e+00,1.163860e+07
68,Planet_68,1.006718e+27,3.246869e+07,2.541250e+04,planet,5.061429e-04,1.495210e+00,2.171513e+07
69,Planet_69,2.405043e+26,3.028701e+07,4.751164e+03,planet,1.209172e-04,3.572048e-01,8.478894e+07
70,Planet_70,5.045762e+26,1.382014e+07,1.722144e+04,planet,2.536834e-04,7.494128e-01,1.844130e+07
71,Planet_71,5.849142e+26,2.040155e+07,4.901375e+04,planet,2.940745e-04,8.687334e-01,2.348424e+07
72,Planet_72,1.362539e+27,3.789555e+07,4.364704e+03,planet,6.850372e-04,2.023686e+00,1.872600e+07
73,Planet_73,1.293681e+27,6.261036e+07,4.297630e+04,planet,6.504176e-04,1.921416e+00,3.258553e+07
74,Planet_74,1.522112e+27,1.798135e+07,1.076769e+04,planet,7.652649e-04,2.260689e+00,7.953921e+06
75,Planet_75,6.978036e+26,3.763849e+07,2.529517e+04,planet,3.508314e-04,1.036400e+00,3.631656e+07
76,Planet_76,1.990474e+26,6.674422e+07,4.492830e+04,planet,1.000741e-04,2.956316e-01,2.257682e+08
77,Planet_77,2.666052e+26,1.821236e+07,2.553166e+04,planet,1.340398e-04,3.959706e-01,4.599422e+07
78,Planet_78,4.758446e+26,2.011517e+07,1.496884e+04,planet,2.392381e-04,7.067397e-01,2.846192e+07
79,Planet_79,6.976911e+26,1.376076e+07,3.810105e+04,planet,3.507748e-04,1.036233e+00,1.327960e+07
80,Planet_80,1.523108e+27,2.420322e+07,2.150498e+04,planet,7.657655e-04,2.262168e+00,1.069913e+07
81,Planet_81,1.186485e+27,5.159217e+07,4.915876e+04,planet,5.965232e-04,1.762205e+00,2.927706e+07
82,Planet_82,1.406916e+27,1.971475e+07,4.173308e+04,planet,7.073484e-04,2.089597e+00,9.434714e+06
83,Planet_83,5.715876e+26,3.557274e+07,1.116945e+03,planet,2.873743e-04,8.489402e-01,4.190253e+07
84,Planet_84,1.011878e+27,2.832417e+07,1.603585e+04,planet,5.087372e-04,1.502874e+00,1.884667e+07
85,Planet_85,1.430100e+27,4.817020e+07,2.825584e+04,planet,7.190045e-04,2.124030e+00,2.267868e+07
86,Planet_86,1.203743e+27,1.818103e+07,3.173064e+04,planet,6.051999e-04,1.787837e+00,1.016929e+07
87,Planet_87,1.261953e+27,6.533908e+07,1.228080e+04,planet,6.344661e-04,1.874293e+00,3.486065e+07
88,Planet_88,1.750611e+27,1.558115e+07,4.055423e+04,planet,8.801461e-04,2.600063e+00,5.992606e+06
89,Planet_89,1.789433e+27,1.907787e+07,1.367113e+04,planet,8.996647e-04,2.657723e+00,7.178276e+06
90,Planet_90,2.407865e+26,4.197796e+07,1.356105e+04,planet,1.210591e-04,3.576238e-01,1.173802e+08
91,Planet_91,1.688995e+27,1.403154e+07,4.741837e+03,planet,8.491678e-04,2.508549e+00,5.593488e+06
92,Planet_92,2.204911e+26,5.563873e+07,4.566334e+04,planet,1.108553e-04,3.274805e-01,1.698994e+08
93,Planet_93,1.778318e+27,2.915757e+07,1.476380e+04,planet,8.940764e-04,2.641215e+00,1.103946e+07
94,Planet_94,1.447453e+27,3.074820e+07,3.920882e+04,planet,7.277292e-04,2.149804e+00,1.430279e+07
95,Planet_95,1.311245e+26,6.028664e+07,4.683256e+04,planet,6.592486e-05,1.947504e-01,3.095585e+08
96,Planet_96,1.025179e+27,1.601488e+07,4.513527e+04,planet,5.154244e-04,1.522629e+00,1.051791e+07
97,Planet_97,4.759882e+26,6.116102e+07,4.866200e+04,planet,2.393103e-04,7.069529e-01,8.651357e+07
98,Planet_98,2.361089e+26,5.209784e+07,7.321147e+03,planet,1.187074e-04,3.506766e-01,1.485638e+08
99,Planet_99,1.440438e+27,4.498025e+07,6.990669e+03,planet,7.242019e-04,2.139384e+00,2.102486e+07
100,Planet_100,1.134344e+27,2.429395e+07,4.934172e+04,planet,5.703086e-04,1.684764e+00,1.441980e+07
101,Star_1,1.568800e+32,2.994700e+09,9.163643e+04,star,7.887379e+01,2.330032e+05,1.285262e+04
102,Star_2,6.517402e+31,4.333476e+09,8.256486e+04,star,3.276723e+01,9.679854e+04,4.476799e+04
103,Star_3,4.236534e+31,1.059965e+09,3.628389e+04,star,2.129982e+01,6.292236e+04,1.684560e+04
104,Star_4,4.983290e+31,7.153165e+08,1.799498e+04,star,2.505425e+01,7.401341e+04,9.664687e+03
105,Star_5,1.765603e+32,3.727989e+09,4.788099e+04,star,8.876837e+01,2.622330e+05,1.421632e+04
106,Star_6,3.881469e+31,6.128893e+09,1.822591e+04,star,1.951468e+01,5.764883e+04,1.063143e+05
107,Star_7,1.435155e+31,1.362076e+09,5.282552e+04,star,7.215460e+00,2.131538e+04,6.390110e+04
108,Star_8,1.553575e+32,3.868725e+09,1.419406e+04,star,7.810834e+01,2.307419e+05,1.676646e+04
109,Star_9,2.207503e+31,4.172725e+09,3.943538e+04,star,1.109856e+01,3.278655e+04,1.272694e+05
110,Star_10,1.321572e+32,6.661881e+09,8.603082e+04,star,6.644402e+01,1.962840e+05,3.394000e+04
111,Star_11,1.091355e+32,4.075891e+09,8.994006e+04,star,5.486955e+01,1.620916e+05,2.514561e+04
112,Star_12,6.277843e+31,6.668537e+09,4.827247e+04,star,3.156281e+01,9.324054e+04,7.151972e+04
113,Star_13,1.263222e+32,5.217765e+09,1.359392e+04,star,6.351040e+01,1.876178e+05,2.781061e+04
114,Star_14,5.049024e+31,3.165550e+09,4.520834e+04,star,2.538474e+01,7.498973e+04,4.221312e+04
115,Star_15,1.652815e+32,6.489796e+09,7.843705e+04,star,8.309779e+01,2.454814e+05,2.643702e+04
116,Star_16,4.705595e+31,6.845414e+09,6.943587e+04,star,2.365809e+01,6.988900e+04,9.794694e+04
117,Star_17,1.329665e+32,3.666360e+09,3.341326e+04,star,6.685095e+01,1.974862e+05,1.856515e+04
118,Star_18,1.068238e+32,5.649089e+09,7.246015e+04,star,5.370729e+01,1.586581e+05,3.560542e+04
119,Star_19,1.401438e+32,1.805618e+09,9.484350e+04,star,7.045940e+01,2.081460e+05,8.674765e+03
120,Star_20,1.436021e+31,5.576985e+09,5.556491e+04,star,7.219815e+00,2.132825e+04,2.614835e+05
121,Star_21,5.944926e+31,4.594562e+09,8.346231e+04,star,2.988902e+01,8.829595e+04,5.203593e+04
122,Star_22,1.879281e+32,4.879411e+09,6.081280e+04,star,9.448371e+01,2.791168e+05,1.748161e+04
123,Star_23,1.180255e+32,3.147258e+09,9.881469e+04,star,5.933914e+01,1.752953e+05,1.795403e+04
124,Star_24,9.167740e+31,2.042284e+09,9.313836e+04,star,4.609221e+01,1.361622e+05,1.499890e+04
125,Star_25,5.742860e+30,3.871950e+09,5.582262e+04,star,2.887310e+00,8.529480e+03,4.539491e+05
126,Star_26,1.440807e+32,1.947026e+09,1.789888e+04,star,7.243876e+01,2.139933e+05,9.098540e+03
127,Star_27,9.612340e+31,5.431325e+09,1.918246e+04,star,4.832750e+01,1.427656e+05,3.804366e+04
128,Star_28,1.411227e+32,6.108938e+09,8.776264e+04,star,7.095158e+01,2.095999e+05,2.914570e+04
129,Star_29,1.760013e+32,3.348066e+09,1.045503e+04,star,8.848732e+01,2.614027e+05,1.280808e+04
130,Star_30,1.185764e+32,6.219937e+09,2.427834e+04,star,5.961610e+01,1.761135e+05,3.531777e+04
131,Star_31,1.105790e+32,1.949471e+09,5.446112e+04,star,5.559529e+01,1.642355e+05,1.186997e+04
132,Star_32,1.452749e+32,1.899933e+09,3.109386e+04,star,7.303919e+01,2.157670e+05,8.805486e+03
133,Star_33,4.923345e+31,5.772708e+09,1.868792e+03,star,2.475287e+01,7.312310e+04,7.894507e+04
134,Star_34,1.912412e+32,2.066542e+09,5.739573e+04,star,9.614942e+01,2.840375e+05,7.275594e+03
135,Star_35,1.173529e+32,1.983517e+09,7.106023e+04,star,5.900097e+01,1.742963e+05,1.138014e+04
136,Star_36,4.670945e+31,6.429436e+09,8.180941e+04,star,2.348389e+01,6.937437e+04,9.267740e+04
137,Star_37,1.594639e+32,4.557477e+09,8.824698e+04,star,8.017289e+01,2.368409e+05,1.924278e+04
138,Star_38,8.221964e+31,4.747803e+09,2.564743e+04,star,4.133717e+01,1.221152e+05,3.887969e+04
139,Star_39,1.201585e+32,5.101442e+09,2.284725e+04,star,6.041152e+01,1.784633e+05,2.858539e+04
140,Star_40,4.668252e+31,1.460608e+09,3.986094e+04,star,2.347035e+01,6.933438e+04,2.106615e+04
141,Star_41,1.632753e+32,7.305219e+08,5.748012e+04,star,8.208916e+01,2.425018e+05,3.012439e+03
142,Star_42,2.302866e+31,3.549331e+09,8.056960e+04,star,1.157801e+01,3.420290e+04,1.037728e+05
143,Star_43,1.104665e+32,4.403705e+09,7.289342e+04,star,5.553870e+01,1.640683e+05,2.684067e+04
144,Star_44,1.638367e+32,4.229128e+09,2.774053e+04,star,8.237139e+01,2.433355e+05,1.737982e+04
145,Star_45,1.222671e+32,1.646898e+09,6.677756e+04,star,6.147164e+01,1.815950e+05,9.069074e+03
146,Star_46,2.203493e+31,4.032259e+09,5.851775e+04,star,1.107839e+01,3.272698e+04,1.232090e+05
147,Star_47,2.875699e+31,1.054952e+09,3.448150e+04,star,1.445802e+01,4.271081e+04,2.469988e+04
148,Star_48,5.355510e+31,2.239373e+09,6.104330e+04,star,2.692564e+01,7.954176e+04,2.815343e+04
149,Star_49,8.947742e+30,3.162145e+09,5.248526e+04,star,4.498614e+00,1.328947e+04,2.379436e+05
150,Star_50,1.161604e+32,2.195166e+09,4.903097e+04,star,5.840143e+01,1.725252e+05,1.272374e+04
151,Star_51,1.716094e+32,6.933065e+09,5.720833e+04,star,8.627922e+01,2.548797e+05,2.720132e+04
152,Star_52,1.237888e+32,5.054581e+09,6.228294e+04,star,6.223671e+01,1.838551e+05,2.749220e+04
153,Star_53,8.731703e+31,1.301241e+09,5.340356e+03,star,4.389996e+01,1.296860e+05,1.003378e+04
154,Star_54,1.369255e+32,4.494323e+09,5.766750e+04,star,6.884136e+01,2.033661e+05,2.209967e+04
155,Star_55,1.269907e+32,4.404861e+09,9.386916e+04,star,6.384651e+01,1.886107e+05,2.335425e+04
156,Star_56,1.367468e+32,1.257994e+09,1.846535e+04,star,6.875153e+01,2.031007e+05,6.193940e+03
157,Star_57,1.527592e+32,4.449769e+09,4.212770e+02,star,7.680202e+01,2.268829e+05,1.961262e+04
158,Star_58,1.068821e+32,5.654458e+09,1.824816e+04,star,5.373661e+01,1.587447e+05,3.561981e+04
159,Star_59,6.637433e+31,4.149164e+09,3.501828e+03,star,3.337070e+01,9.858129e+04,4.208876e+04
160,Star_60,1.526742e+32,1.524551e+09,8.608664e+04,star,7.675929e+01,2.267567e+05,6.723293e+03
161,Star_61,1.629258e+32,9.796773e+08,6.709805e+04,star,8.191340e+01,2.419826e+05,4.048545e+03
162,Star_62,9.271626e+31,3.426058e+09,9.012843e+04,star,4.661451e+01,1.377052e+05,2.487966e+04
163,Star_63,1.168861e+32,4.057778e+09,6.567760e+04,star,5.876629e+01,1.736031e+05,2.337389e+04
164,Star_64,1.169416e+31,3.315018e+09,4.618298e+04,star,5.879416e+00,1.736854e+04,1.908634e+05
165,Star_65,6.169922e+31,4.114366e+09,7.520860e+04,star,3.102022e+01,9.163766e+04,4.489821e+04
166,Star_66,1.979302e+32,1.334648e+09,7.435792e+03,star,9.951242e+01,2.939723e+05,4.540048e+03
167,Star_67,1.223459e+32,1.984904e+09,9.823311e+04,star,6.151125e+01,1.817120e+05,1.092335e+04
168,Star_68,1.442040e+32,1.225339e+09,3.735031e+04,star,7.250076e+01,2.141764e+05,5.721169e+03
169,Star_69,1.376840e+32,5.485722e+09,6.309909e+03,star,6.922271e+01,2.044927e+05,2.682601e+04
170,Star_70,7.194160e+31,1.019123e+09,5.170548e+04,star,3.616973e+01,1.068500e+05,9.537886e+03
171,Star_71,1.904072e+32,6.937559e+09,6.015104e+04,star,9.573013e+01,2.827989e+05,2.453177e+04
172,Star_72,1.330167e+32,2.621358e+09,5.513930e+04,star,6.687618e+01,1.975607e+05,1.326862e+04
173,Star_73,1.321720e+32,3.583713e+09,3.159795e+04,star,6.645149e+01,1.963061e+05,1.825574e+04
174,Star_74,1.314313e+31,4.482821e+09,7.922138e+04,star,6.607911e+00,1.952060e+04,2.296456e+05
175,Star_75,2.468401e+31,2.225163e+09,4.535005e+04,star,1.241026e+01,3.666148e+04,6.069485e+04
176,Star_76,1.530804e+32,5.973382e+09,5.409417e+04,star,7.696348e+01,2.273599e+05,2.627281e+04
177,Star_77,9.550743e+31,1.769597e+09,8.574019e+04,star,4.801781e+01,1.418507e+05,1.247506e+04
178,Star_78,2.623455e+31,2.391523e+09,9.772722e+03,star,1.318982e+01,3.896439e+04,6.137714e+04
179,Star_79,1.453673e+32,3.447147e+09,5.227354e+04,star,7.308564e+01,2.159042e+05,1.596609e+04
180,Star_80,5.808987e+31,3.026201e+09,3.983422e+04,star,2.920557e+01,8.627694e+04,3.507543e+04
181,Star_81,1.487778e+32,7.306093e+08,4.805013e+04,star,7.480032e+01,2.209696e+05,3.306379e+03
182,Star_82,2.877072e+31,2.836888e+09,5.332459e+04,star,1.446492e+01,4.273120e+04,6.638916e+04
183,Star_83,1.542693e+32,1.034879e+09,7.230739e+04,star,7.756121e+01,2.291256e+05,4.516646e+03
184,Star_84,2.354455e+31,3.100868e+09,8.299007e+04,star,1.183738e+01,3.496912e+04,8.867447e+04
185,Star_85,6.822861e+31,1.325443e+09,8.830707e+04,star,3.430297e+01,1.013353e+05,1.307977e+04
186,Star_86,7.605214e+31,3.871473e+09,6.169635e+04,star,3.823637e+01,1.129551e+05,3.427445e+04
187,Star_87,1.718609e+32,1.979796e+09,2.489799e+04,star,8.640568e+01,2.552533e+05,7.756203e+03
188,Star_88,6.516683e+31,4.835684e+09,8.066744e+04,star,3.276362e+01,9.678787e+04,4.996168e+04
189,Star_89,9.136468e+31,1.102326e+09,2.987534e+04,star,4.593498e+01,1.356978e+05,8.123388e+03
190,Star_90,1.883513e+32,4.381019e+09,2.321897e+04,star,9.469650e+01,2.797455e+05,1.566073e+04
191,Star_91,5.559988e+31,3.971788e+09,1.830453e+04,star,2.795369e+01,8.257873e+04,4.809698e+04
192,Star_92,1.022347e+32,6.726442e+09,9.259094e+03,star,5.140006e+01,1.518423e+05,4.429888e+04
193,Star_93,7.453982e+31,4.520644e+09,5.831052e+04,star,3.747603e+01,1.107089e+05,4.083360e+04
194,Star_94,1.663936e+32,4.204900e+09,1.179481e+04,star,8.365693e+01,2.471332e+05,1.701472e+04
195,Star_95,2.171032e+31,2.489390e+09,7.914105e+04,star,1.091519e+01,3.224486e+04,7.720269e+04
196,Star_96,4.931080e+31,6.537833e+09,5.230919e+04,star,2.479176e+01,7.323798e+04,8.926834e+04
197,Star_97,1.452331e+32,2.641289e+09,7.319742e+04,star,7.301815e+01,2.157048e+05,1.224492e+04
198,Star_98,1.736332e+32,5.321698e+09,9.584452e+03,star,8.729673e+01,2.578856e+05,2.063589e+04
199,Star_99,2.429597e+31,2.424120e+09,4.073199e+04,star,1.221517e+01,3.608516e+04,6.717775e+04
200,Star_100,9.169137e+31,9.891373e+08,3.784214e+04,star,4.609923e+01,1.361830e+05,7.263297e+03
201,RedGiant_1,1.724903e+31,5.979796e+11,3.015202e+04,red_giant,8.672212e+00,2.561881e+04,2.334142e+07
202,RedGiant_2,9.308551e+30,2.740823e+11,2.290535e+04,red_giant,4.680016e+00,1.382536e+04,1.982461e+07
203,RedGiant_3,3.787095e+30,1.879321e+11,3.853676e+04,red_giant,1.904020e+00,5.624715e+03,3.341185e+07
204,RedGiant_4,8.459221e+30,5.096645e+11,1.576931e+04,red_giant,4.253002e+00,1.256391e+04,4.056577e+07
205,RedGiant_5,1.044727e+31,3.173941e+11,6.386039e+03,red_giant,5.252523e+00,1.551662e+04,2.045511e+07
206,RedGiant_6,2.602635e+30,6.024881e+11,5.741232e+03,red_giant,1.308515e+00,3.865518e+03,1.558622e+08
207,RedGiant_7,1.098644e+31,3.561746e+11,4.170527e+04,red_giant,5.523599e+00,1.631741e+04,2.182789e+07
208,RedGiant_8,2.663715e+30,3.330206e+11,7.364461e+03,red_giant,1.339223e+00,3.956236e+03,8.417612e+07
209,RedGiant_9,8.891742e+30,6.161938e+11,1.214696e+04,red_giant,4.470459e+00,1.320630e+04,4.665908e+07
210,RedGiant_10,8.001962e+30,6.191742e+11,2.768353e+04,red_giant,4.023108e+00,1.188477e+04,5.209812e+07
211,RedGiant_11,3.226156e+30,2.196359e+11,4.671322e+04,red_giant,1.621999e+00,4.791590e+03,4.583779e+07
212,RedGiant_12,1.715869e+31,6.383027e+11,3.484182e+04,red_giant,8.626794e+00,2.548464e+04,2.504656e+07
213,RedGiant_13,1.652323e+31,1.234251e+11,2.789608e+04,red_giant,8.307306e+00,2.454083e+04,5.029376e+06
214,RedGiant_14,1.796417e+31,1.195980e+11,8.101006e+03,red_giant,9.031758e+00,2.668096e+04,4.482523e+06
215,RedGiant_15,3.391241e+30,4.132380e+11,2.321720e+04,red_giant,1.704998e+00,5.036780e+03,8.204408e+07
216,RedGiant_16,1.845921e+31,6.768358e+11,1.859791e+04,red_giant,9.280647e+00,2.741620e+04,2.468744e+07
217,RedGiant_17,6.242446e+30,8.308236e+10,2.905555e+04,red_giant,3.138485e+00,9.271481e+03,8.961067e+06
218,RedGiant_18,1.691994e+31,2.339625e+11,8.779901e+02,red_giant,8.506756e+00,2.513004e+04,9.310075e+06
219,RedGiant_19,1.285570e+31,4.321409e+11,4.105108e+04,red_giant,6.463398e+00,1.909370e+04,2.263265e+07
220,RedGiant_20,1.248580e+31,3.565152e+11,3.572888e+04,red_giant,6.277424e+00,1.854430e+04,1.922505e+07
221,RedGiant_21,1.171865e+31,6.642959e+11,2.420232e+04,red_giant,5.891730e+00,1.740492e+04,3.816714e+07
222,RedGiant_22,7.939692e+30,6.489524e+11,2.675813e+04,red_giant,3.991801e+00,1.179229e+04,5.503195e+07
223,RedGiant_23,1.562231e+30,1.792538e+11,1.351579e+03,red_giant,7.854355e-01,2.320276e+03,7.725537e+07
224,RedGiant_24,4.403385e+30,4.600403e+11,2.402588e+04,red_giant,2.213869e+00,6.540049e+03,7.034204e+07
225,RedGiant_25,1.171628e+31,3.716077e+11,2.091935e+04,red_giant,5.890539e+00,1.740140e+04,2.135505e+07
226,RedGiant_26,6.986166e+30,1.231542e+11,4.446310e+04,red_giant,3.512401e+00,1.037608e+04,1.186906e+07
227,RedGiant_27,8.112906e+30,1.967995e+11,4.841509e+04,red_giant,4.078887e+00,1.204955e+04,1.633252e+07
228,RedGiant_28,1.101146e+31,2.860482e+11,1.348708e+03,red_giant,5.536181e+00,1.635458e+04,1.749041e+07
229,RedGiant_29,1.499116e+31,4.299330e+11,4.982524e+03,red_giant,7.537034e+00,2.226535e+04,1.930951e+07
230,RedGiant_30,7.170566e+30,3.774166e+11,2.785592e+02,red_giant,3.605111e+00,1.064996e+04,3.543832e+07
231,RedGiant_31,1.573054e+31,1.032611e+11,2.529003e+03,red_giant,7.908767e+00,2.336350e+04,4.419760e+06
232,RedGiant_32,4.173999e+30,6.252593e+11,3.946324e+04,red_giant,2.098541e+00,6.199356e+03,1.008587e+08
233,RedGiant_33,1.830269e+31,1.683979e+11,4.068836e+03,red_giant,9.201954e+00,2.718374e+04,6.194803e+06
234,RedGiant_34,3.562270e+30,3.502353e+11,5.433123e+03,red_giant,1.790985e+00,5.290798e+03,6.619707e+07
235,RedGiant_35,1.421191e+31,6.267932e+11,2.441154e+04,red_giant,7.145255e+00,2.110799e+04,2.969460e+07
236,RedGiant_36,1.944984e+31,4.738856e+11,3.334336e+04,red_giant,9.778705e+00,2.888753e+04,1.640450e+07
