case,category,M_solar,a_m,e,P_year,T0_year,f_true_deg,z,f_emit_Hz,f_obs_Hz,lambda_emit_nm,lambda_obs_nm,v_los_mps,v_tot_mps,z_geom_hint,N0,source,r_emit_m,n_round,R,n_star,residual,abs_residual
X3_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2009.7,60.0,0.00567,456805024067434.56,454229542561113.0,656.281,660.00211327,4200000.0,16000000.0,0.003516,1.0000000028,extended gas structure X3,38071497974.22413,0,1.00567,0.011749474472077547,0.011749474472077547,0.011749474472077547
X1_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2006.1,30.0,0.00234,456805024067434.56,455738595753371.7,656.281,657.81669754,2800000.0,12000000.0,0.001451,1.0000000028,distant gas cloud X1,38071497974.22413,0,1.00234,0.004857042869212467,0.004857042869212467,0.004857042869212467
IRS16C,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2019.3,275.0,0.00345,456805024067434.56,455234465162623.6,656.281,658.5451694499999,18000000.0,22000000.0,0.002139,1.0000000028,Wolf-Rayet star IRS16C,38071497974.22413,0,1.0034499999999997,0.007157061034666472,0.007157061034666472,0.007157061034666472
IRS16NW,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2017.8,315.0,0.00456,456805024067434.56,454731448661538.0,656.281,659.2736413599998,15000000.0,20000000.0,0.002827,1.0000000028,massive star IRS16NW,38071497974.22413,0,1.00456,0.009454536363498044,0.009454536363498044,0.009454536363498044
IRS16SW,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2015.6,225.0,0.00234,456805024067434.56,455738595753371.7,656.281,657.81669754,12000000.0,18000000.0,0.001451,1.0000000028,O-type star IRS16SW,38071497974.22413,0,1.00234,0.004857042869212467,0.004857042869212467,0.004857042869212467
IRS13E,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2012.4,180.0,0.00567,456805024067434.56,454229542561113.0,656.281,660.00211327,9500000.0,16000000.0,0.003516,1.0000000028,massive star cluster IRS13E,38071497974.22413,0,1.00567,0.011749474472077547,0.011749474472077547,0.011749474472077547
IRS7,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2008.9,135.0,0.00123,456805024067434.56,456243844139143.4,656.281,657.08822563,7200000.0,14000000.0,0.000763,1.0000000028,infrared source IRS7,38071497974.22413,0,1.00123,0.0025544762320941607,0.0025544762320941607,0.0025544762320941607
GRS_1915+105,S-star orbital,10.1,145112000000000.0,0.884,16.05,2023.1,0.0,0.3,500000000000000.0,384600000000000.0,599.8,779.9,89000000.0,95000000.0,0.186,1.0000000028,stellar mass black hole with accretion disk,89486.18327662641,1,1.3000520020800832,0.5452988717287042,-0.45470112827129583,0.45470112827129583
Cyg_X-1,S-star orbital,14.8,145112000000000.0,0.884,16.05,2021.3,0.0,0.156,420000000000000.0,363200000000000.0,713.9,825.2,45000000.0,52000000.0,0.097,1.0000000028,first confirmed black hole,131128.2685637694,0,1.1563876651982379,0.30194824188345454,0.30194824188345454,0.30194824188345454
A0620-00,S-star orbital,6.6,145112000000000.0,0.884,16.05,2020.8,0.0,0.057,380000000000000.0,359600000000000.0,789.5,833.5,78000000.0,82000000.0,0.035,1.0000000028,quiescent X-ray binary,58476.1197649242,0,1.0567296996662958,0.11466665457801593,0.11466665457801593,0.11466665457801593
V404_Cyg,S-star orbital,9.0,145112000000000.0,0.884,16.05,2019.5,0.0,0.124,450000000000000.0,400500000000000.0,666.7,748.6,34000000.0,38000000.0,0.077,1.0000000028,recurrent X-ray transient,79740.16331580572,0,1.1235955056179776,0.24216739944309887,0.24216739944309887,0.24216739944309887
M87*_jet,S-star orbital,6500000000.0,145112000000000.0,0.884,16.05,2021.872700594237,0.0,0.00345,1800000000000000.0,1794000000000000.0,166.5,167.1,292500000.0,296700000.0,0.00214,1.0000000028,M87 central engine relativistic jet,57590117950304.125,0,1.0033444816053512,0.0069385270511610345,0.0069385270511610345,0.0069385270511610345
3C273_jet,S-star orbital,1200000000.0,145112000000000.0,0.884,16.05,2024.7535715320496,0.0,0.158,2100000000000000.0,1814000000000000.0,142.9,165.3,275400000.0,284250000.0,0.098,1.0000000028,bright quasar 3C 273 jet,10632021775440.764,0,1.1576626240352812,0.3042381450586732,0.3042381450586732,0.3042381450586732
3C279_jet,S-star orbital,840000000.0,145112000000000.0,0.884,16.05,2023.659969709057,0.0,0.536,1900000000000000.0,1237000000000000.0,157.9,242.4,287100000.0,293340000.0,0.332,1.0000000028,blazar 3C 279 superluminal jet,7442415242808.535,1,1.5359741309620047,0.8918417428933443,-0.10815825710665572,0.10815825710665572
PKS_1510-089,S-star orbital,320000000.0,145112000000000.0,0.884,16.05,2022.9932924209847,0.0,0.361,2200000000000000.0,1616000000000000.0,136.4,185.5,266700000.0,278490000.0,0.224,1.0000000028,gamma-ray loud blazar,2835205806784.203,1,1.3613861386138615,0.641096881247993,-0.358903118752007,0.358903118752007
BL_Lac,S-star orbital,180000000.0,145112000000000.0,0.884,16.05,2020.780093202212,0.0,0.069,2500000000000000.0,2339000000000000.0,119.9,128.2,233700000.0,254550000.0,0.043,1.0000000028,prototype BL Lac object,1594803266316.1145,0,1.0688328345446771,0.13833251970453536,0.13833251970453536,0.13833251970453536
PSR_B1913+16,S-star orbital,1.4,145112000000000.0,0.884,16.05,1974.5,0.0,2.3e-05,1420000000.0,1419968000.0,211.1,211.2,127000.0,245000.0,1.4e-05,1.0000000028,Hulse-Taylor binary pulsar,12404.025404680888,0,1.0000225357191148,4.6830655473853096e-05,4.6830655473853096e-05,4.6830655473853096e-05
PSR_J0737-3039A,S-star orbital,1.34,145112000000000.0,0.884,16.05,2003.1,0.0,1.8e-05,1380000000.0,1379975000.0,217.4,217.4,89000.0,156000.0,1.1e-05,1.0000000028,double pulsar system A,11872.424315908853,0,1.0000181162702222,3.7646843201130905e-05,3.7646843201130905e-05,3.7646843201130905e-05
PSR_J0737-3039B,S-star orbital,1.25,145112000000000.0,0.884,16.05,2003.1,180.0,1.6e-05,1350000000.0,1349978000.0,222.2,222.2,134000.0,189000.0,1e-05,1.0000000028,double pulsar system B,11075.022682750794,0,1.00001629656187,3.386539613906197e-05,3.386539613906197e-05,3.386539613906197e-05
PSR_J1141-6545,S-star orbital,1.3,145112000000000.0,0.884,16.05,1999.7,0.0,3.4e-05,1410000000.0,1409952000.0,212.8,212.9,67000.0,123000.0,2.1e-05,1.0000000028,NS-WD binary system,11518.023590060824,0,1.0000340437121265,7.074458872289727e-05,7.074458872289727e-05,7.074458872289727e-05
PSR_B1534+12,S-star orbital,1.33,145112000000000.0,0.884,16.05,1990.3,0.0,4.5e-05,1370000000.0,1369939000.0,218.8,219.0,78000.0,145000.0,2.8e-05,1.0000000028,another relativistic binary,11783.824134446844,0,1.000044527530058,9.253001779717183e-05,9.253001779717183e-05,9.253001779717183e-05
Vega,S-star orbital,2.1,145112000000000.0,0.884,16.05,2020.290418060841,0.0,-1.7e-05,545000000000000.0,545009300000000.0,550.0,549.9,0.0,-12000.0,-0.0,1.0000000028,nearby A-type star with blueshift,18606.038107021333,0,0.9999829360709992,-3.5460630231153786e-05,-3.5460630231153786e-05,3.5460630231153786e-05
Sirius_A,S-star orbital,2.02,145112000000000.0,0.884,16.05,2023.005575058716,0.0,3.2e-05,732000000000000.0,731976600000000.0,410.0,410.1,0.0,5600.0,0.0,1.0000000028,bright binary star system,17897.236655325283,0,1.00003196823505,6.643170930583962e-05,6.643170930583962e-05,6.643170930583962e-05
Proxima_Cen,S-star orbital,0.123,145112000000000.0,0.884,16.05,2020.102922471479,0.0,-7.5e-05,468000000000000.0,468035100000000.0,641.0,640.9,0.0,-22000.0,-0.0,1.0000000028,closest star to Sun,1089.7822319826782,0,0.9999250056245782,-0.0001558506747652848,-0.0001558506747652848,0.0001558506747652848
Alpha_Cen_A,S-star orbital,1.1,145112000000000.0,0.884,16.05,2024.162213204002,0.0,-2.3e-05,523000000000000.0,523012000000000.0,573.5,573.4,0.0,-22000.0,-0.0,1.0000000028,Sun-like star in Alpha Centauri,9746.0199608207,0,0.9999770559757711,-4.7680223660700926e-05,-4.7680223660700926e-05,4.7680223660700926e-05
Betelgeuse,S-star orbital,11.6,145112000000000.0,0.884,16.05,2020.9091248360355,0.0,6.8e-05,421000000000000.0,420971300000000.0,712.1,712.3,0.0,21000.0,0.0,1.0000000028,red supergiant variable star,102776.21049592736,0,1.0000681756689827,0.0001416701368859872,0.0001416701368859872,0.0001416701368859872
Rigel,S-star orbital,18.7,145112000000000.0,0.884,16.05,2021.5212112147976,0.0,0.000123,689000000000000.0,688915100000000.0,435.1,435.2,0.0,18000.0,0.0,1.0000000028,blue supergiant in Orion,165682.33933395188,0,1.0001232372465054,0.0002560819310799907,0.0002560819310799907,0.0002560819310799907
Spica,S-star orbital,10.25,145112000000000.0,0.884,16.05,2022.159725093211,0.0,3.4e-05,812000000000000.0,811972400000000.0,369.2,369.2,0.0,1000.0,0.0,1.0000000028,hot binary star system,90815.18599855652,0,1.0000339913031526,7.063568202456563e-05,7.063568202456563e-05,7.063568202456563e-05
Antares,S-star orbital,12.4,145112000000000.0,0.884,16.05,2023.059264473612,0.0,8.9e-05,398000000000000.0,397964500000000.0,753.3,753.4,0.0,-3200.0,0.0,1.0000000028,red supergiant in Scorpius,109864.2250128879,0,1.0000892039365321,0.00018536526629724836,0.00018536526629724836,0.00018536526629724836
Polaris,S-star orbital,5.4,145112000000000.0,0.884,16.05,2021.460723242676,0.0,-5.6e-05,489000000000000.0,489027400000000.0,613.1,613.0,0.0,-17000.0,-0.0,1.0000000028,current North Star,47844.09798948344,0,0.9999439704196533,-0.00011643760012610533,-0.00011643760012610533,0.00011643760012610533
Aldebaran,S-star orbital,1.16,145112000000000.0,0.884,16.05,2022.2803499210847,0.0,0.000189,432000000000000.0,431918300000000.0,694.0,694.1,0.0,54000.0,0.0,1.0000000028,red giant in Taurus,10277.621049592735,0,1.0001891561436502,0.0003930457358547756,0.0003930457358547756,0.0003930457358547756
EHT_M87,S-star orbital,6500000000.0,145112000000000.0,0.884,16.05,2023.925879806965,0.0,0.00428,230000000000000.0,229100000000000.0,1303.5,1309.1,0.0,140015014.24503672,0.00265,1.0000000028,Event Horizon Telescope M87* shadow,57590117950304.125,0,1.003928415539066,0.00814759583944135,0.00814759583944135,0.00814759583944135
M87_central,S-star orbital,6500000000.0,145112000000000.0,0.884,16.05,2028.071282732744,262.70344320977443,0.00428,456805024067434.56,454858230839441.75,656.281,659.08988268,1613071.7110972465,2766937.8505519493,,1.0,SMBH literature: M87* - EHT target,1795321431606523.8,0,1.00428,0.008875232544663695,0.008875232544663695,0.008875232544663695
NGC_227_central,S-star orbital,100000000000.0,145112000000000.0,0.884,16.05,2028.617069003108,207.8467722924344,0.017,456805024067434.56,449169148542216.94,656.281,667.4377769999999,8211782.884170739,13805589.65995673,,1.0,SMBH literature: Object 227 - requested target,8.813304706814706e+16,0,1.017,0.035030554505461005,0.035030554505461005,0.035030554505461005
TON_618_central,S-star orbital,66000000000.0,145112000000000.0,0.884,16.05,2021.010014294097,100.07049711963316,2.219,456805024067434.56,141908985420141.22,656.281,2112.568539,1688036.241644389,5897426.073414115,,1.0,SMBH literature: Most massive known BH,3.512944778800721e+16,2,3.219,2.429430640387668,0.4294306403876682,0.4294306403876682
NGC_1277_central,S-star orbital,17000000000.0,145112000000000.0,0.884,16.05,2026.480353852466,219.28716204011576,0.0169,456805024067434.56,449213318976727.9,656.281,667.3721489,3117288.318093664,3670318.428155578,,1.0,SMBH literature: Overmassive BH,7243740515456438.0,0,1.0169,0.03482620946166246,0.03482620946166246,0.03482620946166246
NGC_4258_central,S-star orbital,39000000.0,145112000000000.0,0.884,16.05,2025.5694974377463,246.4611303563549,0.0015,456805024067434.56,456120842803229.7,656.281,657.2654215,274806.48234464915,449030.340867464,,1.0,SMBH literature: Maser disk BH,25426607077967.336,0,1.0015,0.00311479486928713,0.00311479486928713,0.00311479486928713
3C_273_central,S-star orbital,880000000.0,145112000000000.0,0.884,16.05,2022.1098284358632,339.4474971606196,0.158,456805024067434.56,394477568279304.5,656.281,759.9733979999999,241022.8068117596,767117.779034893,,1.0,SMBH literature: First quasar,167488886951258.44,0,1.158,0.30484367073197693,0.30484367073197693,0.30484367073197693
3C_279_central,S-star orbital,300000000.0,145112000000000.0,0.884,16.05,2022.6488016649805,88.78590276983404,0.536,456805024067434.56,297399104210569.4,656.281,1008.0476159999998,299272.42272109,640728.5114255309,,1.0,SMBH literature: Variable blazar,202038852748603.5,1,1.536,0.8918767419572897,-0.10812325804271028,0.10812325804271028
Phoenix_A_central,S-star orbital,20000000000.0,145112000000000.0,0.884,16.05,2029.9753760649512,183.4294657235272,0.596,456805024067434.56,286218686759044.2,656.281,1047.424476,1276385.6377908976,4633708.554614963,,1.0,SMBH literature: Phoenix cluster BCG,2.681752050444326e+16,1,1.596,0.9715066727001397,-0.028493327299860316,0.028493327299860316
Cygnus_X1,S-star orbital,21.2,145112000000000.0,0.884,16.05,2020.63527706152,137.38294314235324,1e-05,456805024067434.56,456800456062873.9,656.281,656.2875628099999,487913.5263585231,1114650.0931261224,,1.0,Stellar BH: First confirmed BH,1295176.3601934568,0,1.00001,2.078076530883304e-05,2.078076530883304e-05,2.078076530883304e-05
LMC_X1,S-star orbital,10.9,145112000000000.0,0.884,16.05,2026.8171036902656,193.30931894716625,3e-05,456805024067434.56,456791320327824.8,656.281,656.3006884299999,130370.7705192686,192691.5676272499,,1.0,Stellar BH: LMC X-ray binary,853699.5731584722,0,1.0000299999999998,6.23416725161242e-05,6.23416725161242e-05,6.23416725161242e-05
GW150914_remnant,S-star orbital,62.0,145112000000000.0,0.884,16.05,2020.1947674238584,334.47550185526217,0.09,456805024067434.56,419087178043517.94,656.281,715.34629,183899.59245028457,511792.03080515086,,1.0,Stellar BH: LIGO detection,3343322.507543331,0,1.09,0.179084743460696,0.179084743460696,0.179084743460696
GW190521_remnant,S-star orbital,142.0,145112000000000.0,0.884,16.05,2020.856534520679,174.95656679398095,0.82,456805024067434.56,250991771465623.4,656.281,1194.43142,1171214.5041285465,1365752.9621219186,,1.0,Stellar BH: Intermediate mass BH,2704178.9590087137,1,1.8199999999999998,1.244434300870581,0.24443430087058093,0.24443430087058093
Vela_Pulsar,S-star orbital,1.4,145112000000000.0,0.884,16.05,2028.0749699776663,68.54756917027598,1e-05,456805024067434.56,456800456062873.9,656.281,656.2875628099999,426831.6250343089,586552.4823295154,,1.0,Pulsar: Vela SNR pulsar,12855.21546662642,0,1.00001,2.078076530883304e-05,2.078076530883304e-05,2.078076530883304e-05
Crab_Pulsar,S-star orbital,1.4,145112000000000.0,0.884,16.05,2029.84165211366,35.430433614705194,1e-05,456805024067434.56,456800456062873.9,656.281,656.2875628099999,550053.5776395138,861219.3193954481,,1.0,Pulsar: Crab nebula pulsar,12335.123340183374,0,1.00001,2.078076530883304e-05,2.078076530883304e-05,2.078076530883304e-05
S4_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2022.2321073814885,265.1296370990445,0.0008,456805024067434.56,456439872169698.8,656.281,656.8060247999999,357548.26347406965,1117256.4330152075,,1.0,Additional S-star: Short period S-star,1269049932474.1377,0,1.0008,0.0016618049036205517,0.0016618049036205517,0.0016618049036205517
S5_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2024.2192181968528,10.726998997705325,0.0012,456805024067434.56,456257515049375.25,656.281,657.0685372,415497.557525934,2450574.7269805945,,1.0,Additional S-star: Very close S-star,1269049932474.1377,0,1.0012,0.00249220927880075,0.00249220927880075,0.00249220927880075
S9_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2028.0943045667784,2.339553484101966,0.0006,456805024067434.56,456531105404192.06,656.281,656.6747686,620647.8267929187,1086164.155726025,,1.0,Additional S-star: Eccentric S-star,1269049932474.1377,0,1.0006,0.0012464782466500175,0.0012464782466500175,0.0012464782466500175
HLX-1,S-star orbital,20000.0,145112000000000.0,0.884,16.05,2026.09131005667,61.60991335131492,0.126,456805024067434.56,405688298461309.6,656.281,738.9724059999998,4687737.711524331,7580082.686041875,,1.0,IMBH: Hyper-luminous X-ray source,10049624426.031685,0,1.126,0.2466097538288876,0.2466097538288876,0.2466097538288876
ESO_243-49_HLX-1,S-star orbital,20000.0,145112000000000.0,0.884,16.05,2025.5694974377463,246.4611303563549,0.0223,456805024067434.56,446840481333693.2,656.281,670.9160663,3606827.0788622,5893510.148862864,,1.0,IMBH: Off-center IMBH,13039285681.008892,0,1.0223,0.04583218788960466,0.04583218788960466,0.04583218788960466
M82_X-1,S-star orbital,400.0,145112000000000.0,0.884,16.05,2022.677408759757,75.95382369107753,0.000677,456805024067434.56,456495976291485.2,656.281,656.725302237,142983.8028982274,405786.1658816575,,1.0,IMBH: Ultraluminous X-ray source,180828992.0785916,0,1.000677,0.0014063888367525108,0.0014063888367525108,0.0014063888367525108
NGC_1313_X-1,S-star orbital,5000.0,145112000000000.0,0.884,16.05,2029.1454758974053,165.18666693146358,0.00144,456805024067434.56,456148170701624.2,656.281,657.22604464,911812.1949202748,2189195.939258316,,1.0,IMBH: IMBH candidate,2829373646.078576,0,1.00144,0.002990292672205548,0.002990292672205548,0.002990292672205548
NGC_5408_X-1,S-star orbital,1000.0,145112000000000.0,0.884,16.05,2028.9782288360248,143.784181850543,0.00467,456805024067434.56,454681660711909.94,656.281,659.34583227,709793.0759216555,1250364.8002161966,,1.0,IMBH: Dwarf galaxy IMBH,893726747.4109904,0,1.00467,0.009682075830422535,0.009682075830422535,0.009682075830422535
IC_10_X-1,S-star orbital,23.0,145112000000000.0,0.884,16.05,2021.0964913035064,225.8805750131124,0.000348,456805024067434.56,456646111220729.75,656.281,656.509385788,24062.17906134664,174752.24976391683,,1.0,IMBH: Wolf-Rayet IMBH,18971062.40676932,0,1.000348,0.0007230484454560468,0.0007230484454560468,0.0007230484454560468
M33_X-7,S-star orbital,16.0,145112000000000.0,0.884,16.05,2025.2911434509915,349.58821594090256,5.4e-05,456805024067434.56,456780357928106.4,656.281,656.3164391739999,100141.1233092254,111652.85609817224,,1.0,IMBH: Eclipsing IMBH,3713527.415956323,0,1.0000540000000002,0.0001122136640054888,0.0001122136640054888,0.0001122136640054888
NGC_300_X-1,S-star orbital,20.0,145112000000000.0,0.884,16.05,2022.668251899525,230.7462474887309,0.00048,456805024067434.56,456585862853265.0,656.281,656.59601488,77570.59202551705,146476.71591567757,,1.0,IMBH: Spiral galaxy IMBH,22110164.575749066,0,1.00048,0.00099724240315859,0.00099724240315859,0.00099724240315859
