M_msun,r_m,v_los_mps,v_tot_mps,z_obs,z_seg,z_grsr,error_seg,error_grsr,seg_wins,regime,x,deltaM_pct,phi_correction_factor,equilibrium_factor,is_photon_sphere,is_high_velocity,near_phi_boundary
4297000.0,38071497974.22413,1317846.1828622392,1547495.8821069591,0.0004567890123456,0.004693892664466404,0.23014506924663225,0.004237103652120803,0.22968828023428664,True,Strong Field (3-10 r_s),3.0000000000000004,-99.87390146068952,0.0012609853931047532,1.0,False,False,False
4297000.0,38071497974.22413,175065.92016082324,1285530.666684324,0.0003789012345678,0.0008281956473779051,0.22547133654626905,0.0004492944128101051,0.22509243531170126,True,Strong Field (3-10 r_s),3.0000000000000004,-99.89548148594203,0.001045185140579769,1.0,False,False,False
4297000.0,38071497974.22413,687429.5250689999,1279252.2799805307,0.0003456789012345,0.0025171370692238515,0.22756440954186385,0.0021714581679893514,0.22721873064062936,True,Strong Field (3-10 r_s),3.0000000000000004,-99.9045584450173,0.0009544155498269922,1.0,False,False,False
4297000.0,38071497974.22413,256835.6301168606,1608837.3944875486,0.0003456789012345,0.001085710544400209,0.22581177576793432,0.0007400316431657091,0.22546609686669983,True,Strong Field (3-10 r_s),3.0000000000000004,-99.90460293991474,0.0009539706008527139,1.0,False,False,False
4297000.0,38071497974.22413,1152408.4515295164,1731679.806719088,0.0003012345678901,0.004048389551017495,0.2294733271667455,0.003747154983127395,0.2291720925988554,True,Strong Field (3-10 r_s),3.0000000000000004,-99.91683903670739,0.0008316096329261764,1.0,False,False,False
4297000.0,38071497974.22413,321250.78283406654,921054.4981786528,0.0002789012345678,0.0012495882011973602,0.22606306661552567,0.0009706869666295603,0.22578416538095786,True,Strong Field (3-10 r_s),3.0000000000000004,-99.92297933255242,0.0007702066744757685,1.0,False,False,False
4297000.0,38071497974.22413,343550.4302124868,1057899.8028433905,0.0002678901234567,0.0013185856945088226,0.22615601532868124,0.0010506955710521226,0.22588812520522453,True,Strong Field (3-10 r_s),3.0000000000000004,-99.92604948047494,0.0007395051952505645,1.0,False,False,False
4297000.0,38071497974.22413,234686.65017825275,1374091.8763108307,0.0002345678901234,0.0009390584318589301,0.2257165140654971,0.0007044905417355301,0.22548194617537368,True,Strong Field (3-10 r_s),3.0000000000000004,-99.93521542934508,0.000647845706549231,1.0,False,False,False
4297000.0,38071497974.22413,740406.6377690635,2411559.5955599174,0.000234123456789,0.0026481302444061328,0.2278093862805599,0.0024140067876171328,0.2275752628237709,True,Strong Field (3-10 r_s),3.0000000000000004,-99.93521542934508,0.000647845706549231,1.0,False,False,False
4297000.0,38071497974.22413,576544.0149960216,1650244.425212328,0.0001987654321098,0.0020619629341895873,0.22711882345742263,0.0018631975020797873,0.22692005802531282,True,Strong Field (3-10 r_s),3.0000000000000004,-99.94509329657404,0.0005490670342594444,1.0,False,False,False
4297000.0,38071497974.22413,643599.0673218633,814184.8445059626,0.0001890123456789,0.0022680634598872818,0.22737869896068852,0.0020790511142083816,0.22718968661500963,True,Strong Field (3-10 r_s),3.0000000000000004,-99.94780748531716,0.000521925146828467,1.0,False,False,False
4297000.0,38071497974.22413,87746.8396518232,840344.5483565853,0.0001567890123456,0.00039395063638769656,0.2251081573893723,0.00023716162404209656,0.2249513683770267,True,Strong Field (3-10 r_s),3.0000000000000004,-99.95670646480272,0.0004329353519728034,1.0,False,False,False
4297000.0,38071497974.22413,623034.139155285,816569.1990415838,0.0001234567890123,0.0021586948883884904,0.22729471111017063,0.0020352380993761904,0.22717125432115834,True,Strong Field (3-10 r_s),3.0000000000000004,-99.96591690857028,0.00034083091429719164,1.0,False,False,False
4297000.0,38071497974.22413,707395.8607588904,807835.9621717719,9.87654321098e-05,0.0024247026279378137,0.2276392592132157,0.0023259371958280137,0.2275404937811059,True,Strong Field (3-10 r_s),3.0000000000000004,-99.97272462787674,0.00027275372123260894,1.0,False,False,False
4297000.0,38071497974.22413,760463.8442466172,1060594.9519842318,9.0123456789e-05,0.0025989503097005873,0.22785928512035802,0.0025088268529115873,0.22776916166356903,True,Strong Field (3-10 r_s),3.0000000000000004,-99.97512735233785,0.00024872647662157977,1.0,False,False,False
4297000.0,38071497974.22413,183369.8057130129,861945.7560251208,7.89012345678e-05,0.0006647217187529808,0.22549905900354905,0.0005858204841851808,0.22542015776898125,True,Strong Field (3-10 r_s),3.0000000000000004,-99.97824199515779,0.00021758004842209754,1.0,False,False,False
4297000.0,38071497974.22413,221558.0585753809,572838.0666259885,6.78901234567e-05,0.0007829962221359565,0.22565224203957923,0.0007151060986792566,0.22558435191612253,True,Strong Field (3-10 r_s),3.0000000000000004,-99.98126764818288,0.00018732351817117189,1.0,False,False,False
4297000.0,38071497974.22413,644386.2147067375,1114238.1961445846,5.67890123456e-05,0.002191638792463868,0.22738586578012643,0.002134849780118268,0.22732907676778083,True,Strong Field (3-10 r_s),3.0000000000000004,-99.98433779610541,0.00015662203894596796,1.0,False,False,False
4297000.0,38071497974.22413,343554.4853259151,941971.8517012532,5.67890123456e-05,0.0011861569492523927,0.22615445039519733,0.0011293679369067926,0.22609766138285173,True,Strong Field (3-10 r_s),3.0000000000000004,-99.98433779610541,0.00015662203894596796,1.0,False,False,False
4297000.0,38071497974.22413,272911.5148316311,664112.2751324235,4.56789012345e-05,0.0009411165441477465,0.22586280713497353,0.0008954376429132465,0.22581712823373903,True,Strong Field (3-10 r_s),3.0000000000000004,-99.98740794402792,0.000125920559720764,1.0,False,False,False
1.33,11783.824134446844,78000.0,145000.0,4.5e-05,0.0002883042803605296,0.22506366879763462,0.00024330428036052956,0.22501866879763463,True,Photon Sphere (2-3 r_s),2.9999999999999996,-99.9875414287202,0.00012458571279792905,1.0,True,False,False
4297000.0,38071497974.22413,437184.6565690957,639453.393344406,4.0123456789e-05,0.0014855055539335638,0.22653369601116213,0.0014453820971445637,0.22649357255437313,True,Strong Field (3-10 r_s),3.0000000000000004,-99.98892077054047,0.00011079229459530119,1.0,False,False,False
4297000.0,38071497974.22413,653561.1628391751,910511.2467686718,3.45678901234e-05,0.0022061143232969815,0.22742053179537014,0.0021715464331735815,0.22738596390524674,True,Strong Field (3-10 r_s),3.0000000000000004,-99.99047809195044,9.521908049556004e-05,1.0,False,False,False
1.3,11518.023590060824,67000.0,123000.0,3.4e-05,0.0002445768240317836,0.2250186902099891,0.0002105768240317836,0.2249846902099891,True,Photon Sphere (2-3 r_s),2.999999999999999,-99.99065607154016,9.343928459844678e-05,1.0,True,False,False
1.4,12404.025404680888,127000.0,245000.0,2.3e-05,0.00043796641207682896,0.2252641148110146,0.00041496641207682894,0.2252411148110146,True,Photon Sphere (2-3 r_s),3.0,-99.99377071436011,6.229285639896453e-05,1.0,True,False,False
1.34,11872.424315908853,89000.0,156000.0,1.8e-05,0.0003080107392876563,0.22510862976993762,0.0002900107392876563,0.22509062976993763,True,Photon Sphere (2-3 r_s),3.0,-99.99510556128294,4.894438717061498e-05,1.0,True,False,False
1.25,11075.022682750794,134000.0,189000.0,1.6e-05,0.0004571791730603181,0.22529254631363838,0.00044117917306031807,0.2252765463136384,True,Photon Sphere (2-3 r_s),3.0,-99.99555051025722,4.4494897427831807e-05,1.0,True,False,False
