case,category,M_solar,a_m,e,P_year,T0_year,f_true_deg,z,f_emit_Hz,f_obs_Hz,lambda_emit_nm,lambda_obs_nm,v_los_mps,v_tot_mps,z_geom_hint,N0,source,r_emit_m,n_round,z_obs,z_source,r_eff_m,v_tot_mps_eff,z_gr,z_sr,z_grsr,z_seg,dz_seg,dz_gr,dz_sr,dz_grsr,ratio_seg_gr,ratio_seg_grsr
S27_SgrA*,S-stars,4297000.0,234500000000000.0,0.789,45.6,2015.34,0.0,0.0002678901234567,456805024067434.56,456682683287028.25,656.281,656.4568111981122,343550.4302124868,1057899.8028433905,0.0001662,1.0000000028,S27 orbital parameters,38071497974.22413,2.0,0.0002678901234567377,freq,38071497974.22413,1057899.8028433905,0.22474487139158894,0.0011521941998327012,0.22615601532868124,0.0013185856945088226,0.0010506955710520849,0.2244769812681322,0.0008843040763759635,0.2258881252052245,0.004680638367089653,0.004651397987820316
S31_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2006.89,0.0,7.89012345678e-05,456805024067434.56,456768984430650.7,656.281,656.3327813811234,183369.8057130129,861945.7560251208,4.89e-05,1.0000000028,S31 medium period orbit,38071497974.22413,2.0,7.890123456788523e-05,freq,38071497974.22413,861945.7560251208,0.22474487139158894,0.0006157916065434588,0.22549905900354905,0.0006647217187529808,0.0005858204841850956,0.22466597015702106,0.0005368903719755735,0.22542015776898117,0.002607517657327723,0.0025987936925563945
S33_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2013.67,0.0,0.0003456789012345,456805024067434.56,456647170775189.1,656.281,656.507862494981,256835.6301168606,1608837.3944875486,0.0002144,1.0000000028,S33 high eccentricity,38071497974.22413,2.0,0.0003456789012346029,freq,38071497974.22413,1608837.3944875486,0.22474487139158894,0.0008711237754628343,0.22581177576793432,0.001085710544400209,0.0007400316431656062,0.22439919249035434,0.0005254448742282314,0.22546609686669972,0.003297835589125019,0.0032822302485820227
S35_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2003.45,0.0,3.45678901234e-05,456805024067434.56,456789233827390.06,656.281,656.303686249498,653561.1628391751,910511.2467686718,2.14e-05,1.0000000028,S35 very long period,38071497974.22413,2.0,3.456789012346029e-05,freq,38071497974.22413,910511.2467686718,0.22474487139158894,0.002184667571411003,0.22742053179537014,0.0022061143232969815,0.0021715464331735213,0.22471030350146548,0.002150099681287543,0.22738596390524668,0.00966375995820485,0.00955004607970622
S39_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2011.12,0.0,0.0001567890123456,456805024067434.56,456733413286660.1,656.281,656.383897649811,87746.8396518232,840344.5483565853,9.73e-05,1.0000000028,S39 orbital data,38071497974.22413,2.0,0.00015678901234550402,freq,38071497974.22413,840344.5483565853,0.22474487139158894,0.0002966217750890454,0.2251081573893723,0.00039395063638769656,0.00023716162404219254,0.22458808237924344,0.0001398327627435414,0.22495136837702678,0.0010559849014682675,0.001054279534964646
S41_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2017.56,0.0,0.0003012345678901,456805024067434.56,456667460042439.2,656.281,656.4786945234495,1152408.4515295164,1731679.806719088,0.0001869,1.0000000028,S41 close orbit,38071497974.22413,2.0,0.0003012345678901074,freq,38071497974.22413,1731679.806719088,0.22474487139158894,0.0038607679734832256,0.2294733271667455,0.004048389551017495,0.0037471549831273876,0.22444363682369883,0.0035595334055931183,0.2291720925988554,0.016695305049217277,0.016350834609196663
S43_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2007.23,0.0,9.0123456789e-05,456805024067434.56,456763858929531.6,656.281,656.3401463123449,760463.8442466172,1060594.9519842318,5.59e-05,1.0000000028,S43 medium distance,38071497974.22413,2.0,9.012345678893752e-05,freq,38071497974.22413,1060594.9519842318,0.22474487139158894,0.0025429081611343385,0.22785928512035802,0.0025989503097005873,0.0025088268529116498,0.2246547479348,0.002452784704345401,0.2277691616635691,0.011167477544875968,0.011014778447564212
S45_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2004.78,0.0,6.78901234567e-05,456805024067434.56,456774013623257.8,656.281,656.3255549981124,221558.0585753809,572838.0666259885,4.21e-05,1.0000000028,S45 low eccentricity,38071497974.22413,2.0,6.789012345675971e-05,freq,38071497974.22413,572838.0666259885,0.22474487139158894,0.0007408650317182186,0.22565224203957923,0.0007829962221359565,0.0007151060986791968,0.22467698126813218,0.0006729749082614589,0.22558435191612247,0.003182818705516524,0.003170016415611531
S47_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2014.34,0.0,0.0001890123456789,456805024067434.56,456718698594897.7,656.281,656.4050452112346,643599.0673218633,814184.8445059626,0.0001173,1.0000000028,S47 elliptical orbit,38071497974.22413,2.0,0.00018901234567891834,freq,38071497974.22413,814184.8445059626,0.22474487139158894,0.0021505112049229336,0.22737869896068852,0.0022680634598872818,0.0020790511142083634,0.22455585904591002,0.0019614988592440152,0.2271896866150096,0.009258503087124106,0.009151168546358689
S49_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2008.91,0.0,5.67890123456e-05,456805024067434.56,456779084034392.2,656.281,656.318269549811,343554.4853259151,941971.8517012532,3.52e-05,1.0000000028,S49 nearly circular,38071497974.22413,2.0,5.678901234551503e-05,freq,38071497974.22413,941971.8517012532,0.22474487139158894,0.0011509164369938318,0.22615445039519733,0.0011861569492523927,0.0011293679369068776,0.22468808237924343,0.0010941274246483168,0.2260976613828518,0.005026381127774528,0.004995044751898233
S51_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2016.78,0.0,0.0002789012345678,456805024067434.56,456677656105347.25,656.281,656.4640375811233,321250.78283406654,921054.4981786528,0.0001731,1.0000000028,S51 eccentric orbit,38071497974.22413,2.0,0.0002789012345678632,freq,38071497974.22413,921054.4981786528,0.22474487139158894,0.0010763018933395152,0.22606306661552567,0.0012495882011973602,0.000970686966629497,0.22446597015702108,0.000797400658771652,0.2257841653809578,0.004324428179249044,0.004299180879189161
S53_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2002.56,0.0,4.0123456789e-05,456805024067434.56,456786696206167.5,656.281,656.307332262345,437184.6565690957,639453.393344406,2.49e-05,1.0000000028,S53 distant orbit,38071497974.22413,2.0,4.0123456789054046e-05,freq,38071497974.22413,639453.393344406,0.22474487139158894,0.0014605691857607628,0.22653369601116213,0.0014855055539335638,0.0014453820971445097,0.2247047479347999,0.0014204457289717087,0.22649357255437308,0.006432361178073106,0.006381559003390812
PSR_J1745-2900,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2023.5,180.0,0.00234,456805024067434.56,455738595753371.7,656.281,657.81669754,3000000.0,15000000.0,0.001451,1.0000000028,magnetar near Sgr A* with strong relativistic effects,38071497974.22413,2.0,0.0023400000000000087,freq,38071497974.22413,15000000.0,0.22474487139158894,0.0112735588764179,0.23855210480781297,0.012740916810347613,0.010400916810347605,0.22240487139158893,0.00893355887641789,0.23621210480781296,0.046765687933312754,0.044032107578949035
PSR_J1745-29AB,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2022.8,90.0,0.00087,456805024067434.56,456407949151672.6,656.281,656.8519644699999,12000000.0,18000000.0,0.000539,1.0000000028,pulsar in close orbit to central BH,38071497974.22413,2.0,0.0008699999999999264,freq,38071497974.22413,18000000.0,0.22474487139158894,0.04190741797254982,0.276070766626733,0.042469006070837034,0.04159900607083711,0.22387487139158901,0.041037417972549894,0.2752007666267331,0.1858136458650356,0.15115875795237035
G2_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2014.2,45.0,0.01234,456805024067434.56,451236762419181.9,656.281,664.37950754,8000000.0,25000000.0,0.007654,1.0000000028,gas cloud G2 pericenter passage,38071497974.22413,2.0,0.012340000000000018,freq,38071497974.22413,25000000.0,0.22474487139158894,0.030273671170412797,0.26182239489574743,0.03815938584955125,0.025819385849551235,0.21240487139158892,0.01793367117041278,0.24948239489574742,0.12155740911398731,0.10349181496490173
G1_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2011.3,120.0,0.00876,456805024067434.56,452838161770326.4,656.281,662.0300215600001,6500000.0,19000000.0,0.005432,1.0000000028,gas cloud G1 dynamics,38071497974.22413,2.0,0.008760000000000323,freq,38071497974.22413,19000000.0,0.22474487139158894,0.02373974559608727,0.2538200030585378,0.029300699894165394,0.02054069989416507,0.21598487139158862,0.014979745596086946,0.24506000305853748,0.095102493808115,0.08381906324084439
X3_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2009.7,60.0,0.00567,456805024067434.56,454229542561113.0,656.281,660.00211327,4200000.0,16000000.0,0.003516,1.0000000028,extended gas structure X3,38071497974.22413,2.0,0.005670000000000064,freq,38071497974.22413,16000000.0,0.22474487139158894,0.015456929012477971,0.24367566592708512,0.019027275574885927,0.013357275574885863,0.21907487139158888,0.009786929012477907,0.23800566592708505,0.060971281142556,0.05612167056131333
X1_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2006.1,30.0,0.00234,456805024067434.56,455738595753371.7,656.281,657.81669754,2800000.0,12000000.0,0.001451,1.0000000028,distant gas cloud X1,38071497974.22413,2.0,0.0023400000000000087,freq,38071497974.22413,12000000.0,0.22474487139158894,0.010149357841856776,0.23717524535632095,0.01161508456008531,0.0092750845600853,0.22240487139158893,0.007809357841856768,0.23483524535632094,0.04170360344200659,0.039496135028675106
IRS16C,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2019.3,275.0,0.00345,456805024067434.56,455234465162623.6,656.281,658.5451694499999,18000000.0,22000000.0,0.002139,1.0000000028,Wolf-Rayet star IRS16C,38071497974.22413,2.0,0.003449999999999731,freq,38071497974.22413,22000000.0,0.22474487139158894,0.06290739909776688,0.30179038580916284,0.06518095802443691,0.06173095802443718,0.2212948713915892,0.05945739909776715,0.2983403858091631,0.27895340563587684,0.20691452099925922
IRS16NW,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2017.8,315.0,0.00456,456805024067434.56,454731448661538.0,656.281,659.2736413599998,15000000.0,20000000.0,0.002827,1.0000000028,massive star IRS16NW,38071497974.22413,2.0,0.0045599999999998975,freq,38071497974.22413,20000000.0,0.22474487139158894,0.05237908506014022,0.2888958871871794,0.05535416073360522,0.05079416073360532,0.22018487139158904,0.04781908506014032,0.2843358871871795,0.23068869542481035,0.1786413992130628
IRS16SW,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2015.6,225.0,0.00234,456805024067434.56,455738595753371.7,656.281,657.81669754,12000000.0,18000000.0,0.001451,1.0000000028,O-type star IRS16SW,38071497974.22413,2.0,0.0023400000000000087,freq,38071497974.22413,18000000.0,0.22474487139158894,0.04190741797254982,0.276070766626733,0.04341922563602818,0.04107922563602817,0.22240487139158893,0.03956741797254981,0.273730766626733,0.18470470263980798,0.1500716420819621
IRS13E,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2012.4,180.0,0.00567,456805024067434.56,454229542561113.0,656.281,660.00211327,9500000.0,16000000.0,0.003516,1.0000000028,massive star cluster IRS13E,38071497974.22413,2.0,0.005670000000000064,freq,38071497974.22413,16000000.0,0.22474487139158894,0.03316105811875403,0.26535870725245125,0.03679365239909971,0.031123652399099644,0.21907487139158888,0.027491058118753964,0.2596887072524512,0.14206856405483026,0.11984984918440603
IRS7,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2008.9,135.0,0.00123,456805024067434.56,456243844139143.4,656.281,657.08822563,7200000.0,14000000.0,0.000763,1.0000000028,infrared source IRS7,38071497974.22413,2.0,0.0012300000000000644,freq,38071497974.22413,14000000.0,0.22474487139158894,0.02513502916160837,0.2555288694495468,0.025917207188858704,0.02468720718885864,0.22351487139158888,0.023905029161608304,0.2542988694495467,0.11044995366598076,0.09707950036229564
GRS_1915+105,S-star orbital,10.1,145112000000000.0,0.884,16.05,2023.1,0.0,0.3,500000000000000.0,384600000000000.0,599.8,779.9,89000000.0,95000000.0,0.186,1.0000000028,stellar mass black hole with accretion disk,89486.18327662641,2.0,0.3000520020800832,freq,89486.18327662641,95000000.0,0.22474487139158894,0.3673397161881129,0.6746423048514221,0.6216649033991017,0.32161290131901854,0.07530713068849426,0.0672877141080297,0.37459030277133887,4.270683245778688,0.8585724161560602
Cyg_X-1,S-star orbital,14.8,145112000000000.0,0.884,16.05,2021.3,0.0,0.156,420000000000000.0,363200000000000.0,713.9,825.2,45000000.0,52000000.0,0.097,1.0000000028,first confirmed black hole,131128.2685637694,2.0,0.15638766519823788,freq,131128.2685637694,52000000.0,0.22474487139158894,0.167805330793378,0.43026358967294764,0.28108244788033554,0.12469478268209766,0.06835720619335106,0.011417665595140125,0.27387592447470976,1.8241644096658007,0.45529661988822323
A0620-00,S-star orbital,6.6,145112000000000.0,0.884,16.05,2020.8,0.0,0.057,380000000000000.0,359600000000000.0,789.5,833.5,78000000.0,82000000.0,0.035,1.0000000028,quiescent X-ray binary,58476.1197649242,2.0,0.05672969966629582,freq,58476.1197649242,82000000.0,0.22474487139158894,0.3101414682007104,0.6045890439762667,0.3559964195877352,0.2992667199214394,0.16801517172529312,0.2534117685344146,0.5478593443099709,1.7811886679540117,0.5462473589792759
V404_Cyg,S-star orbital,9.0,145112000000000.0,0.884,16.05,2019.5,0.0,0.124,450000000000000.0,400500000000000.0,666.7,748.6,34000000.0,38000000.0,0.077,1.0000000028,recurrent X-ray transient,79740.16331580572,2.0,0.12359550561797761,freq,79740.16331580572,38000000.0,0.22474487139158894,0.12246544427204431,0.3747337961864676,0.20889528348099162,0.08529977786301401,0.10114936577361133,0.0011300613459332975,0.25113829056849,0.8433051182340454,0.3396526179656829
M87*_jet,S-star orbital,6500000000.0,145112000000000.0,0.884,16.05,2021.872700594237,0.0,0.00345,1800000000000000.0,1794000000000000.0,166.5,167.1,292500000.0,296700000.0,0.00214,1.0000000028,M87 central engine relativistic jet,57590117950304.125,2.0,0.0033444816053511683,freq,57590117950304.125,296700000.0,0.22474487139158894,12.79055736389226,15.889914405058555,12.82006915665099,12.816724675045638,0.22140038978623777,12.787212882286909,15.886569923453203,57.889350092925284,0.8067647539274302
3C273_jet,S-star orbital,1200000000.0,145112000000000.0,0.884,16.05,2024.7535715320496,0.0,0.158,2100000000000000.0,1814000000000000.0,142.9,165.3,275400000.0,284250000.0,0.098,1.0000000028,bright quasar 3C 273 jet,10632021775440.764,2.0,0.1576626240352812,freq,10632021775440.764,284250000.0,0.22474487139158894,5.037138254802269,6.393954115451046,5.628777803772891,5.47111517973761,0.06708224735630774,4.879475630766987,6.2362914914157646,81.55831677310616,0.8773026705484473
3C279_jet,S-star orbital,840000000.0,145112000000000.0,0.884,16.05,2023.659969709057,0.0,0.536,1900000000000000.0,1237000000000000.0,157.9,242.4,287100000.0,293340000.0,0.332,1.0000000028,blazar 3C 279 superluminal jet,7442415242808.535,2.0,0.5359741309620047,freq,7442415242808.535,293340000.0,0.22474487139158894,8.486807539908025,10.61891888038141,11.63642764315749,11.100453512195484,0.3112292595704158,7.9508334089460195,10.082944749419404,35.666484338642334,1.1009138488867223
PKS_1510-089,S-star orbital,320000000.0,145112000000000.0,0.884,16.05,2022.9932924209847,0.0,0.361,2200000000000000.0,1616000000000000.0,136.4,185.5,266700000.0,278490000.0,0.224,1.0000000028,gamma-ray loud blazar,2835205806784.203,2.0,0.3613861386138615,freq,2835205806784.203,278490000.0,0.22474487139158894,4.103983529248272,5.251077651113963,5.247275839799885,4.885889701186024,0.13664126722227254,3.742597390634411,4.889691512500102,35.757057882361494,0.9992224844237394
BL_Lac,S-star orbital,180000000.0,145112000000000.0,0.884,16.05,2020.780093202212,0.0,0.069,2500000000000000.0,2339000000000000.0,119.9,128.2,233700000.0,254550000.0,0.043,1.0000000028,prototype BL Lac object,1594803266316.1145,2.0,0.06883283454467715,freq,1594803266316.1145,254550000.0,0.22474487139158894,2.3687293210676015,3.125833959084014,2.513584681873508,2.444751847328831,0.1559120368469118,2.2998964865229246,3.0570011245393367,15.680327810285132,0.7997222597349335
PSR_B1913+16,S-star orbital,1.4,145112000000000.0,0.884,16.05,1974.5,0.0,2.3e-05,1420000000.0,1419968000.0,211.1,211.2,127000.0,245000.0,1.4e-05,1.0000000028,Hulse-Taylor binary pulsar,12404.025404680888,2.0,2.2535719114813446e-05,freq,12404.025404680888,245000.0,0.22474487139158894,0.0004239604766302918,0.2252641148110146,0.00043796641207682896,0.0004154306929620155,0.22472233567247413,0.00040142475751547835,0.2252415790918998,0.0018486399748331777,0.0018443783542847457
PSR_J0737-3039A,S-star orbital,1.34,145112000000000.0,0.884,16.05,2003.1,0.0,1.8e-05,1380000000.0,1379975000.0,217.4,217.4,89000.0,156000.0,1.1e-05,1.0000000028,double pulsar system A,11872.424315908853,2.0,1.8116270222190423e-05,freq,11872.424315908853,156000.0,0.22474487139158894,0.0002970074722055127,0.22510862976993762,0.0003080107392876563,0.0002898944690654659,0.22472675512136675,0.0002788912019833223,0.22509051349971543,0.0012899864500286334,0.0012879017625317755
PSR_J0737-3039B,S-star orbital,1.25,145112000000000.0,0.884,16.05,2003.1,180.0,1.6e-05,1350000000.0,1349978000.0,222.2,222.2,134000.0,189000.0,1e-05,1.0000000028,double pulsar system B,11075.022682750794,2.0,1.6296561869966197e-05,freq,11075.022682750794,189000.0,0.22474487139158894,0.00044717470131327985,0.22529254631363838,0.0004571791730603181,0.0004408826111903519,0.22472857482971897,0.00043087813944331366,0.2252762497517684,0.0019618449123544562,0.001957075420405657
PSR_J1141-6545,S-star orbital,1.3,145112000000000.0,0.884,16.05,1999.7,0.0,3.4e-05,1410000000.0,1409952000.0,212.8,212.9,67000.0,123000.0,2.1e-05,1.0000000028,NS-WD binary system,11518.023590060824,2.0,3.404371212645252e-05,freq,11518.023590060824,123000.0,0.22474487139158894,0.00022357212901713552,0.22501869020998888,0.0002445768240317836,0.00021053311190533108,0.2247108276794625,0.000189528416890683,0.22498464649786243,0.0009369068419152675,0.0009357665742196829
PSR_B1534+12,S-star orbital,1.33,145112000000000.0,0.884,16.05,1990.3,0.0,4.5e-05,1370000000.0,1369939000.0,218.8,219.0,78000.0,145000.0,2.8e-05,1.0000000028,another relativistic binary,11783.824134446844,2.0,4.452753005801391e-05,freq,11783.824134446844,145000.0,0.22474487139158894,0.0002602969920448839,0.22506366879763462,0.0002883042803605296,0.00024377675030251567,0.22470034386153093,0.00021576946198686997,0.2250191412675766,0.0010848970950072972,0.0010833600596343662
Vega,S-star orbital,2.1,145112000000000.0,0.884,16.05,2020.290418060841,0.0,-1.7e-05,545000000000000.0,545009300000000.0,550.0,549.9,0.0,-12000.0,-0.0,1.0000000028,nearby A-type star with blueshift,18606.038107021333,2.0,-1.7063929000804556e-05,freq,18606.038107021333,-12000.0,0.22474487139158894,8.011080687708727e-10,0.22474487237274188,8.011080687708727e-10,1.7064730108873327e-05,0.22476193532058975,1.7064730108873327e-05,0.22476193630174268,7.592357702621224e-05,7.592357669478315e-05
Sirius_A,S-star orbital,2.02,145112000000000.0,0.884,16.05,2023.005575058716,0.0,3.2e-05,732000000000000.0,731976600000000.0,410.0,410.1,0.0,5600.0,0.0,1.0000000028,bright binary star system,17897.236655325283,2.0,3.1968235050028326e-05,freq,17897.236655325283,5600.0,0.22474487139158894,1.7446355471406605e-10,0.22474487160526224,1.7446355471406605e-10,3.196806058647361e-05,0.2247129031565389,3.196806058647361e-05,0.2247129033702122,0.00014226179332570016,0.00014226179319042735
Proxima_Cen,S-star orbital,0.123,145112000000000.0,0.884,16.05,2020.102922471479,0.0,-7.5e-05,468000000000000.0,468035100000000.0,641.0,640.9,0.0,-22000.0,-0.0,1.0000000028,closest star to Sun,1089.7822319826782,2.0,-7.499437542179965e-05,freq,1089.7822319826782,-22000.0,0.22474487139158894,2.6926132434823558e-09,0.22474487468935322,2.6926132434823558e-09,7.499706803504314e-05,0.22481986576701074,7.499706803504314e-05,0.22481986906477502,0.00033358737129024626,0.00033358736639702875
Alpha_Cen_A,S-star orbital,1.1,145112000000000.0,0.884,16.05,2024.162213204002,0.0,-2.3e-05,523000000000000.0,523012000000000.0,573.5,573.4,0.0,-22000.0,-0.0,1.0000000028,Sun-like star in Alpha Centauri,9746.0199608207,2.0,-2.2944024228865878e-05,freq,9746.0199608207,-22000.0,0.22474487139158894,2.6926132434823558e-09,0.22474487468935322,2.6926132434823558e-09,2.294671684210936e-05,0.2247678154158178,2.294671684210936e-05,0.2247678187135821,0.00010209075885556926,0.0001020907573577069
Betelgeuse,S-star orbital,11.6,145112000000000.0,0.884,16.05,2020.9091248360355,0.0,6.8e-05,421000000000000.0,420971300000000.0,712.1,712.3,0.0,21000.0,0.0,1.0000000028,red supergiant variable star,102776.21049592736,2.0,6.81756689826507e-05,freq,102776.21049592736,21000.0,0.22474487139158894,2.4533934883663733e-09,0.22474487439637003,2.4533934883663733e-09,6.817321558916234e-05,0.2246766957226063,6.817321558916234e-05,0.22467669872738738,0.0003034280674722552,0.0003034280634142691
Rigel,S-star orbital,18.7,145112000000000.0,0.884,16.05,2021.5212112147976,0.0,0.000123,689000000000000.0,688915100000000.0,435.1,435.2,0.0,18000.0,0.0,1.0000000028,blue supergiant in Orion,165682.33933395188,2.0,0.00012323724650542545,freq,165682.33933395188,18000.0,0.22474487139158894,1.802493265756766e-09,0.22474487359918327,1.802493265756766e-09,0.0001232354440121597,0.22462163414508352,0.0001232354440121597,0.22462163635267784,0.0005486356845421296,0.0005486356791501066
Spica,S-star orbital,10.25,145112000000000.0,0.884,16.05,2022.159725093211,0.0,3.4e-05,812000000000000.0,811972400000000.0,369.2,369.2,0.0,1000.0,0.0,1.0000000028,hot binary star system,90815.18599855652,2.0,3.399130315262511e-05,freq,90815.18599855652,1000.0,0.22474487139158894,5.5633275763966594e-12,0.2247448713984026,5.5633275763966594e-12,3.399129758929753e-05,0.22471088008843632,3.399129758929753e-05,0.22471088009524998,0.00015126680815775388,0.0001512668081531672
