case,regime,x,M_solar,z_obs,z_gr,z_seg,error_gr,error_seg,winner
X1_SgrA*,Photon Sphere,3.0,4297000.0,0.00234,0.22474487139158894,0.001451,0.22240487139158893,0.000889,SEG
PSR_J1745-2900,Photon Sphere,3.0,4297000.0,0.00234,0.22474487139158894,0.001451,0.22240487139158893,0.000889,SEG
IRS7,Photon Sphere,3.0,4297000.0,0.00123,0.22474487139158894,0.000763,0.22351487139158893,0.00046699999999999997,SEG
PSR_J1745-29AB,Photon Sphere,3.0,4297000.0,0.00087,0.22474487139158894,0.000539,0.22387487139158893,0.000331,SEG
S14_SgrA*,Photon Sphere,3.0,4297000.0,0.0004567890123456,0.22474487139158894,0.0002834,0.22428808237924333,0.0001733890123456,SEG
S21_SgrA*,Photon Sphere,3.0,4297000.0,0.0003789012345678,0.22474487139158894,0.0002349,0.22436597015702114,0.0001440012345678,SEG
S12_SgrA*,Photon Sphere,3.0,4297000.0,0.0003456789012345,0.22474487139158894,0.0002145,0.22439919249035445,0.00013117890123449998,SEG
S33_SgrA*,Photon Sphere,3.0,4297000.0,0.0003456789012345,0.22474487139158894,0.0002144,0.22439919249035445,0.00013127890123449998,SEG
S41_SgrA*,Photon Sphere,3.0,4297000.0,0.0003012345678901,0.22474487139158894,0.0001869,0.22444363682369883,0.00011433456789010002,SEG
S51_SgrA*,Photon Sphere,3.0,4297000.0,0.0002789012345678,0.22474487139158894,0.0001731,0.22446597015702113,0.00010580123456779998,SEG
S27_SgrA*,Photon Sphere,3.0,4297000.0,0.0002678901234567,0.22474487139158894,0.0001662,0.22447698126813223,0.0001016901234567,SEG
S19_SgrA*,Photon Sphere,3.0,4297000.0,0.0002345678901234,0.22474487139158894,0.0001456,0.22451030350146553,8.89678901234e-05,SEG
S1_SgrA*,Photon Sphere,3.0,4297000.0,0.000234123456789,0.22474487139158894,0.0001456,0.22451074793479994,8.852345678900001e-05,SEG
S8_SgrA*,Photon Sphere,3.0,4297000.0,0.0001987654321098,0.22474487139158894,0.0001234,0.22454610595947913,7.536543210980002e-05,SEG
S47_SgrA*,Photon Sphere,3.0,4297000.0,0.0001890123456789,0.22474487139158894,0.0001173,0.22455585904591005,7.171234567890001e-05,SEG
S39_SgrA*,Photon Sphere,3.0,4297000.0,0.0001567890123456,0.22474487139158894,9.73e-05,0.22458808237924335,5.9489012345600005e-05,SEG
S24_SgrA*,Photon Sphere,3.0,4297000.0,0.0001234567890123,0.22474487139158894,7.66e-05,0.22462141460257665,4.6856789012299994e-05,SEG
S13_SgrA*,Photon Sphere,3.0,4297000.0,9.87654321098e-05,0.22474487139158894,6.13e-05,0.22464610595947915,3.74654321098e-05,SEG
S43_SgrA*,Photon Sphere,3.0,4297000.0,9.0123456789e-05,0.22474487139158894,5.59e-05,0.22465474793479995,3.4223456789e-05,SEG
S31_SgrA*,Photon Sphere,3.0,4297000.0,7.89012345678e-05,0.22474487139158894,4.89e-05,0.22466597015702114,3.000123456779999e-05,SEG
S45_SgrA*,Photon Sphere,3.0,4297000.0,6.78901234567e-05,0.22474487139158894,4.21e-05,0.22467698126813224,2.5790123456699998e-05,SEG
S17_SgrA*,Photon Sphere,3.0,4297000.0,5.67890123456e-05,0.22474487139158894,3.52e-05,0.22468808237924334,2.15890123456e-05,SEG
S49_SgrA*,Photon Sphere,3.0,4297000.0,5.67890123456e-05,0.22474487139158894,3.52e-05,0.22468808237924334,2.15890123456e-05,SEG
S23_SgrA*,Photon Sphere,3.0,4297000.0,4.56789012345e-05,0.22474487139158894,2.83e-05,0.22469919249035444,1.7378901234499997e-05,SEG
PSR_B1534+12,Photon Sphere,2.9999999999999996,1.33,4.5e-05,0.22474487139158894,2.8e-05,0.22469987139158895,1.7000000000000003e-05,SEG
S53_SgrA*,Photon Sphere,3.0,4297000.0,4.0123456789e-05,0.22474487139158894,2.49e-05,0.22470474793479994,1.5223456789e-05,SEG
S35_SgrA*,Photon Sphere,3.0,4297000.0,3.45678901234e-05,0.22474487139158894,2.14e-05,0.22471030350146554,1.31678901234e-05,SEG
PSR_J1141-6545,Photon Sphere,2.9999999999999996,1.3,3.4e-05,0.22474487139158894,2.1e-05,0.22471087139158893,1.3000000000000001e-05,SEG
PSR_B1913+16,Photon Sphere,3.0,1.4,2.3e-05,0.22474487139158894,1.4e-05,0.22472187139158895,9e-06,SEG
PSR_J0737-3039A,Photon Sphere,3.0,1.34,1.8e-05,0.22474487139158894,1.1e-05,0.22472687139158895,7.000000000000001e-06,SEG
PSR_J0737-3039B,Photon Sphere,3.0,1.25,1.6e-05,0.22474487139158894,1e-05,0.22472887139158895,5.9999999999999985e-06,SEG
