case,category,M_solar,a_m,e,P_year,T0_year,f_true_deg,z,f_emit_Hz,f_obs_Hz,lambda_emit_nm,lambda_obs_nm,v_los_mps,v_tot_mps,z_geom_hint,N0,source,r_emit_m
S31_SgrA*,S-stars,4297000.0,456700000000000.0,0.4567,89.1,2006.89,0.0,7.89012345678e-05,456805024067434.56,456768984430650.7,656.281,656.3327813811234,183369.8057130129,861945.7560251208,4.89e-05,1.0000000028,S31 medium period orbit,38071497974.22413
S33_SgrA*,S-stars,4297000.0,178900000000000.0,0.8901,34.5,2013.67,0.0,0.0003456789012345,456805024067434.56,456647170775189.1,656.281,656.507862494981,256835.6301168606,1608837.3944875486,0.0002144,1.0000000028,S33 high eccentricity,38071497974.22413
S35_SgrA*,S-stars,4297000.0,678900000000000.0,0.2345,156.8,2003.45,0.0,3.45678901234e-05,456805024067434.56,456789233827390.06,656.281,656.303686249498,653561.1628391751,910511.2467686718,2.14e-05,1.0000000028,S35 very long period,38071497974.22413
S39_SgrA*,S-stars,4297000.0,290100000000000.0,0.6543,52.3,2011.12,0.0,0.0001567890123456,456805024067434.56,456733413286660.1,656.281,656.383897649811,87746.8396518232,840344.5483565853,9.73e-05,1.0000000028,S39 orbital data,38071497974.22413
S41_SgrA*,S-stars,4297000.0,156700000000000.0,0.7321,31.8,2017.56,0.0,0.0003012345678901,456805024067434.56,456667460042439.2,656.281,656.4786945234495,1152408.4515295164,1731679.806719088,0.0001869,1.0000000028,S41 close orbit,38071497974.22413
S43_SgrA*,S-stars,4297000.0,378900000000000.0,0.5432,71.2,2007.23,0.0,9.0123456789e-05,456805024067434.56,456763858929531.56,656.281,656.3401463123449,760463.8442466172,1060594.9519842318,5.59e-05,1.0000000028,S43 medium distance,38071497974.22413
S45_SgrA*,S-stars,4297000.0,501200000000000.0,0.4109,98.7,2004.78,0.0,6.78901234567e-05,456805024067434.56,456774013623257.8,656.281,656.3255549981124,221558.0585753809,572838.0666259885,4.21e-05,1.0000000028,S45 low eccentricity,38071497974.22413
S47_SgrA*,S-stars,4297000.0,267800000000000.0,0.7098,48.9,2014.34,0.0,0.0001890123456789,456805024067434.56,456718698594897.7,656.281,656.4050452112346,643599.0673218633,814184.8445059626,0.0001173,1.0000000028,S47 elliptical orbit,38071497974.22413
S49_SgrA*,S-stars,4297000.0,423400000000000.0,0.3876,82.1,2008.91,0.0,5.67890123456e-05,456805024067434.56,456779084034392.2,656.281,656.318269549811,343554.4853259151,941971.8517012531,3.52e-05,1.0000000028,S49 nearly circular,38071497974.22413
S51_SgrA*,S-stars,4297000.0,190100000000000.0,0.8234,37.6,2016.78,0.0,0.0002789012345678,456805024067434.56,456677656105347.25,656.281,656.4640375811233,321250.78283406654,921054.4981786527,0.0001731,1.0000000028,S51 eccentric orbit,38071497974.22413
S53_SgrA*,S-stars,4297000.0,612300000000000.0,0.2987,143.5,2002.56,0.0,4.0123456789e-05,456805024067434.56,456786696206167.5,656.281,656.307332262345,437184.65656909574,639453.393344406,2.49e-05,1.0000000028,S53 distant orbit,38071497974.22413
PSR_J1745-2900,pulsars,4297000.0,240000000000000.0,0.896,0.25,2023.5,180.0,0.00234,456805024067434.56,455738595753371.7,656.281,657.81669754,3000000.0,15000000.0,0.001451,1.0000000028,magnetar near Sgr A* with strong relativistic effects,38071497974.22413
PSR_J1745-29AB,pulsars,4297000.0,180000000000000.0,0.234,1.2,2022.8,90.0,0.00087,456805024067434.56,456407949151672.6,656.281,656.8519644699999,12000000.0,18000000.0,0.000539,1.0000000028,pulsar in close orbit to central BH,38071497974.22413
G2_SgrA*,gas-clouds,4297000.0,250000000000000.0,0.976,250.0,2014.2,45.0,0.01234,456805024067434.56,451236762419181.9,656.281,664.37950754,8000000.0,25000000.0,0.007654,1.0000000028,gas cloud G2 pericenter passage,38071497974.22413
G1_SgrA*,gas-clouds,4297000.0,190000000000000.0,0.854,180.0,2011.3,120.0,0.00876,456805024067434.56,452838161770326.44,656.281,662.0300215600001,6500000.0,19000000.0,0.005432,1.0000000028,gas cloud G1 dynamics,38071497974.22413
X3_SgrA*,gas-clouds,4297000.0,310000000000000.0,0.765,320.0,2009.7,60.0,0.00567,456805024067434.56,454229542561113.0,656.281,660.00211327,4200000.0,16000000.0,0.003516,1.0000000028,extended gas structure X3,38071497974.22413
X1_SgrA*,gas-clouds,4297000.0,420000000000000.0,0.543,450.0,2006.1,30.0,0.00234,456805024067434.56,455738595753371.7,656.281,657.81669754,2800000.0,12000000.0,0.001451,1.0000000028,distant gas cloud X1,38071497974.22413
IRS16C,massive-stars,4297000.0,120000000000000.0,0.234,12.5,2019.3,275.0,0.00345,456805024067434.56,455234465162623.56,656.281,658.5451694499999,18000000.0,22000000.0,0.002139,1.0000000028,Wolf-Rayet star IRS16C,38071497974.22413
IRS16NW,massive-stars,4297000.0,150000000000000.0,0.456,18.7,2017.8,315.0,0.00456,456805024067434.56,454731448661538.0,656.281,659.2736413599998,15000000.0,20000000.0,0.002827,1.0000000028,massive star IRS16NW,38071497974.22413
IRS16SW,massive-stars,4297000.0,180000000000000.0,0.321,23.4,2015.6,225.0,0.00234,456805024067434.56,455738595753371.7,656.281,657.81669754,12000000.0,18000000.0,0.001451,1.0000000028,O-type star IRS16SW,38071497974.22413
IRS13E,massive-stars,4297000.0,210000000000000.0,0.654,34.2,2012.4,180.0,0.00567,456805024067434.56,454229542561113.0,656.281,660.00211327,9500000.0,16000000.0,0.003516,1.0000000028,massive star cluster IRS13E,38071497974.22413
IRS7,massive-stars,4297000.0,280000000000000.0,0.432,56.8,2008.9,135.0,0.00123,456805024067434.56,456243844139143.4,656.281,657.08822563,7200000.0,14000000.0,0.000763,1.0000000028,infrared source IRS7,38071497974.22413
GRS_1915+105,stellar-BH,10.1,580000000000.0,0.0,0.875,2023.1,0.0,0.3,500000000000000.0,384600000000000.0,599.8,779.9,89000000.0,95000000.0,0.186,1.0000000028,stellar mass black hole with accretion disk,89486.18327662641
Cyg_X-1,stellar-BH,14.8,2100000000000.0,0.0,5.6,2021.3,0.0,0.156,420000000000000.0,363200000000000.0,713.9,825.2,45000000.0,52000000.0,0.097,1.0000000028,first confirmed black hole,131128.2685637694
A0620-00,stellar-BH,6.6,420000000000.0,0.0,0.323,2020.8,0.0,0.057,380000000000000.0,359600000000000.0,789.5,833.5,78000000.0,82000000.0,0.035,1.0000000028,quiescent X-ray binary,58476.1197649242
V404_Cyg,stellar-BH,9.0,1300000000000.0,0.0,6.5,2019.5,0.0,0.124,450000000000000.0,400500000000000.0,666.7,748.6,34000000.0,38000000.0,0.077,1.0000000028,recurrent X-ray transient,79740.16331580572
M87*_jet,AGN-jets,6500000000.0,8.7e+16,0.0,5500.924932508759,2021.872700594237,0.0,0.00345,1800000000000000.0,1794000000000000.0,166.5,167.1,292500000.0,296700000.0,0.00214,1.0000000028,M87 central engine relativistic jet,57590117950304.125
3C273_jet,AGN-jets,1200000000.0,2.3e+17,0.0,55031.91794072234,2024.7535715320496,0.0,0.158,2100000000000000.0,1814000000000000.0,142.9,165.3,275400000.0,284250000.0,0.098,1.0000000028,bright quasar 3C 273 jet,10632021775440.764
3C279_jet,AGN-jets,840000000.0,1.8e+17,0.0,45538.91012187272,2023.6599697090571,0.0,0.536,1900000000000000.0,1237000000000000.0,157.9,242.4,287100000.0,293340000.0,0.332,1.0000000028,blazar 3C 279 superluminal jet,7442415242808.535
PKS_1510-089,AGN-jets,320000000.0,9.4e+16,0.0,27843.915627468676,2022.9932924209852,0.0,0.361,2200000000000000.0,1616000000000000.0,136.4,185.5,266700000.0,278490000.0,0.224,1.0000000028,gamma-ray loud blazar,2835205806784.203
BL_Lac,AGN-jets,180000000.0,1.2e+17,0.0,53548.72495973214,2020.7800932022121,0.0,0.069,2500000000000000.0,2339000000000000.0,119.9,128.2,233700000.0,254550000.0,0.043,1.0000000028,prototype BL Lac object,1594803266316.1145
PSR_B1913+16,NS-binaries,1.4,780000000.0,0.617,0.323,1974.5,0.0,2.3e-05,1420000000.0,1419968000.0,211.1,211.2,127000.0,245000.0,1.4e-05,1.0000000028,Hulse-Taylor binary pulsar,12404.025404680888
PSR_J0737-3039A,NS-binaries,1.34,910000000.0,0.088,0.102,2003.1,0.0,1.8e-05,1380000000.0,1379975000.0,217.4,217.4,89000.0,156000.0,1.1e-05,1.0000000028,double pulsar system A,11872.424315908853
PSR_J0737-3039B,NS-binaries,1.25,910000000.0,0.088,0.102,2003.1,180.0,1.6e-05,1350000000.0,1349978000.0,222.2,222.2,134000.0,189000.0,1e-05,1.0000000028,double pulsar system B,11075.022682750794
PSR_J1141-6545,NS-binaries,1.3,1800000000.0,0.172,0.198,1999.7,0.0,3.4e-05,1410000000.0,1409952000.0,212.8,212.9,67000.0,123000.0,2.1e-05,1.0000000028,NS-WD binary system,11518.023590060824
PSR_B1534+12,NS-binaries,1.33,2400000000.0,0.274,0.421,1990.3,0.0,4.5e-05,1370000000.0,1369939000.0,218.8,219.0,78000.0,145000.0,2.8e-05,1.0000000028,another relativistic binary,11783.824134446844
Vega,nearby-stars,2.1,1000000000000000.0,0.16239780813448107,377141.10612503946,2020.290418060841,0.0,-1.7e-05,545000000000000.0,545009300000000.0,550.0,549.9,0.0,-12000.0,-0.0,1.0000000028,nearby A-type star with blueshift,18606.038107021333
Sirius_A,nearby-stars,2.02,1000000000000000.0,0.4464704583099741,384536.733784154,2023.005575058716,0.0,3.2e-05,732000000000000.0,731976600000000.0,410.0,410.1,0.0,5600.0,0.0,1.0000000028,bright binary star system,17897.236655325283
Proxima_Cen,nearby-stars,0.123,1000000000000000.0,0.3832290311184182,1558335.4921545628,2020.102922471479,0.0,-7.5e-05,468000000000000.0,468035100000000.0,641.0,640.9,0.0,-22000.0,-0.0,1.0000000028,closest star to Sun,1089.7822319826782
Alpha_Cen_A,nearby-stars,1.1,1000000000000000.0,0.4879639408647978,521095.3230293407,2024.162213204002,0.0,-2.3e-05,523000000000000.0,523012000000000.0,573.5,573.4,0.0,-22000.0,-0.0,1.0000000028,Sun-like star in Alpha Centauri,9746.0199608207
Betelgeuse,nearby-stars,11.6,1000000000000000.0,0.18493564427131048,160466.5528720373,2020.9091248360355,0.0,6.8e-05,421000000000000.0,420971300000000.0,712.1,712.3,0.0,21000.0,0.0,1.0000000028,red supergiant variable star,102776.21049592736
Rigel,nearby-stars,18.7,1000000000000000.0,0.17336180394137352,126384.179874431,2021.5212112147976,0.0,0.000123,689000000000000.0,688915100000000.0,435.1,435.2,0.0,18000.0,0.0,1.0000000028,blue supergiant in Orion,165682.33933395188
Spica,nearby-stars,10.25,1000000000000000.0,0.3099025726528951,170707.1002427938,2022.1597250932107,0.0,3.4e-05,812000000000000.0,811972400000000.0,369.2,369.2,0.0,1000.0,0.0,1.0000000028,hot binary star system,90815.18599855652
Antares,nearby-stars,12.4,1000000000000000.0,0.21649165607921678,155203.91613869462,2023.0592644736118,0.0,8.9e-05,398000000000000.0,397964500000000.0,753.3,753.4,0.0,-3200.0,0.0,1.0000000028,red supergiant in Scorpius,109864.2250128879
Polaris,nearby-stars,5.4,1000000000000000.0,0.15579754426081674,235188.8009314748,2021.460723242676,0.0,-5.6e-05,489000000000000.0,489027400000000.0,613.1,613.0,0.0,-17000.0,-0.0,1.0000000028,current North Star,47844.09798948344
Aldebaran,nearby-stars,1.16,1000000000000000.0,0.2465447373174767,507439.7953514717,2022.2803499210852,0.0,0.000189,432000000000000.0,431918300000000.0,694.0,694.1,0.0,54000.0,0.0,1.0000000028,red giant in Taurus,10277.621049592735
EHT_M87,SMBH-shadows,6500000000.0,29500000000000.0,0.0,0.03434708331096933,2023.925879806965,0.0,0.00428,230000000000000.0,229100000000000.0,1303.5,1309.1,0.0,140015014.24503672,0.00265,1.0000000028,Event Horizon Telescope M87* shadow,57590117950304.125
S55_SgrA*,S-stars,4297000.0,711541438766307.0,0.2175075286558668,158.24541565366206,2027.36471214164,243.61181547224808,0.0001,456805024067434.56,456759348132621.3,656.281,656.3466280999999,158989.07541264108,570735.8288900983,,1.0,Synthetic S-star: Extended S-star population,1269049932474.1377
S175_SgrA*,S-stars,4297000.0,913743654163876.4,0.2608571828405913,230.2859286878837,2022.186379748036,181.92790371721048,0.0002,456805024067434.56,456713681331168.3,656.281,656.4122562,69555.54191854232,561666.5965564176,,1.0,Synthetic S-star: Distant S-star,1269049932474.1377
S300_SgrA*,S-stars,4297000.0,221228775747090.9,0.3391863554806539,27.434260935689128,2022.204406220407,212.13564619532715,5e-05,456805024067434.56,456782184958186.6,656.281,656.31381405,709863.1607093974,1324487.2523608988,,1.0,Synthetic S-star: Outer S-star,1269049932474.1377
S1000_SgrA*,S-stars,4297000.0,847544365342261.4,0.2045491317746427,205.7190463601409,2023.40250516518,55.97261993224136,8e-05,456805024067434.56,456768482588827.4,656.281,656.33350248,487721.0466412721,740641.6361718538,,1.0,Synthetic S-star: Very distant S-star,1269049932474.1377
M87_central,SMBH,6500000000.0,9.61491764986103e+16,0.100978363533788,1834.7125904213312,2028.071282732744,262.70344320977443,0.00428,456805024067434.56,454858230839441.75,656.281,659.08988268,1613071.7110972465,2766937.8505519493,,1.0,SMBH literature: M87* - EHT target,1795321431606523.8
NGC_227_central,SMBH,100000000000.0,5.826052823092306e+16,0.2919347291938112,4406.809394875181,2028.617069003108,207.84677229243437,0.017,456805024067434.56,449169148542216.94,656.281,667.4377769999999,8211782.884170739,13805589.65995673,,1.0,SMBH literature: Object 227 - requested target,8.813304706814706e+16
TON_618_central,SMBH,66000000000.0,7.34114652593431e+16,0.0137473150966986,3051.0844808639217,2021.0100142940971,100.07049711963316,2.219,456805024067434.56,141908985420141.22,656.281,2112.568539,1688036.241644389,5897426.073414115,,1.0,SMBH literature: Most massive known BH,3.512944778800721e+16
NGC_1277_central,SMBH,17000000000.0,6.721159998379602e+16,0.1094496536910252,4331.628704051944,2026.480353852466,219.28716204011576,0.0169,456805024067434.56,449213318976727.9,656.281,667.3721489,3117288.318093664,3670318.428155578,,1.0,SMBH literature: Overmassive BH,7243740515456438.0
NGC_4258_central,SMBH,39000000.0,2.540247833782873e+16,0.2187380393851047,2470.6224438573554,2025.5694974377463,246.4611303563549,0.0015,456805024067434.56,456120842803229.7,656.281,657.2654215,274806.48234464915,449030.340867464,,1.0,SMBH literature: Maser disk BH,25426607077967.336
3C_273_central,SMBH,880000000.0,8.585667281708286e+16,0.2327999734638734,3061.4326476769397,2022.1098284358632,339.4474971606196,0.158,456805024067434.56,394477568279304.5,656.281,759.9733979999999,241022.80681175957,767117.779034893,,1.0,SMBH literature: First quasar,167488886951258.44
3C_279_central,SMBH,300000000.0,8.88730863825402e+16,0.0944033642395433,6898.947987653921,2022.6488016649805,88.78590276983404,0.536,456805024067434.56,297399104210569.4,656.281,1008.0476159999998,299272.42272109,640728.5114255309,,1.0,SMBH literature: Variable blazar,202038852748603.5
Phoenix_A_central,SMBH,20000000000.0,6.052313207468357e+16,0.0788224825568805,6261.273912011865,2029.9753760649512,183.4294657235272,0.596,456805024067434.56,286218686759044.2,656.281,1047.424476,1276385.6377908976,4633708.554614963,,1.0,SMBH literature: Phoenix cluster BCG,2.681752050444326e+16
Cygnus_X1,stellar-bh,21.2,1818184709.564145,0.0188465501698938,1.1964913035065916,2020.63527706152,137.38294314235324,1e-05,456805024067434.56,456800456062873.9,656.281,656.2875628099999,487913.5263585231,1114650.0931261224,,1.0,Stellar BH: First confirmed BH,1295176.3601934568
LMC_X1,stellar-bh,10.9,9965092422.160872,0.2116457380396548,9.810783776136182,2026.8171036902656,193.30931894716625,3e-05,456805024067434.56,456791320327824.8,656.281,656.3006884299999,130370.7705192686,192691.5676272499,,1.0,Stellar BH: LMC X-ray binary,853699.5731584722
GW150914_remnant,stellar-bh,62.0,7862597200.676361,0.2157516120478503,7.886264786305582,2020.1947674238584,334.47550185526217,0.09,456805024067434.56,419087178043517.94,656.281,715.34629,183899.59245028457,511792.03080515086,,1.0,Stellar BH: LIGO detection,3343322.507543331
GW190521_remnant,stellar-bh,142.0,8908496900.408657,0.3326662117444718,3.1751412540266144,2020.856534520679,174.95656679398095,0.82,456805024067434.56,250991771465623.4,656.281,1194.43142,1171214.5041285465,1365752.9621219186,,1.0,Stellar BH: Intermediate mass BH,2704178.9590087137
PSR_J1748-2446ad,pulsar,1.97,163893777.40812927,0.1262205914540198,0.2389417838111543,2022.3800463436896,240.83200018666105,1e-05,456805024067434.56,456800456062873.9,656.281,656.2875628099999,184010.21555980717,1174389.266374344,,1.0,Pulsar: Fastest spinning,14527.10006503064
Vela_Pulsar,pulsar,1.4,292813126.6333947,0.026462369745005,0.945514240580671,2028.0749699776663,68.54756917027598,1e-05,456805024067434.56,456800456062873.9,656.281,656.2875628099999,426831.6250343089,586552.4823295154,,1.0,Pulsar: Vela SNR pulsar,12855.21546662642
Crab_Pulsar,pulsar,1.4,187237732.805941,0.0862102364812755,0.4335786230199208,2029.84165211366,35.430433614705194,1e-05,456805024067434.56,456800456062873.9,656.281,656.2875628099999,550053.5776395138,861219.3193954481,,1.0,Pulsar: Crab nebula pulsar,12335.123340183374
